,S&P 500,S&P 500 Utilities (Sector),S&P 500 Performance (%),S&P 500 Utilities (Sector) Performance (%),S&P 500 Utilities (Sector) Outperform/Underperform,overall,utilities and public transportation,fuels and utilities,shelter
1993-05-04,444.05,123.5,-2.967462797456455,-5.138644978283347,-5.138644978283347,144.3,134.7,121.4,155.8
1993-05-05,444.52,123.610001,-3.7418796015591282,-5.885484418622955,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-06,443.26,123.309998,-3.958572573830521,-6.1924679998281,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-07,442.31,122.980003,-3.868640107800314,-5.7624498084291265,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-10,442.8,122.699997,-3.514697230514452,-5.811013101680729,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-11,444.36,122.800003,-3.668054110301755,-6.116207810790342,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-12,444.8,122.599998,-3.585208306238341,-5.945537125636957,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-13,439.23,120.120003,-4.76366001734605,-7.500383432154766,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-14,439.56,119.779999,-4.596952728219817,-7.6982389551286445,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-17,440.37,119.199997,-4.096432771462178,-7.345509087237112,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-18,440.32,118.440002,-4.342725554517612,-8.121946842853234,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-19,447.57,119.870003,-2.887953480298555,-6.665101975050325,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-20,450.59,119.800003,-2.2835704371964027,-6.252443804269159,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-21,445.84,119.330002,-3.391189408221207,-6.4371953392097,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-24,448.0,119.669998,-4.033588244114561,-7.218172033436865,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-25,448.85,120.209999,-4.398296059637907,-7.345464492621224,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-26,453.44,121.720001,-3.2041840111004305,-5.789470722665724,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-27,452.41,121.699997,-2.9600394671928876,-5.69547139026414,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-28,450.19,121.669998,-3.407213508700413,-5.5650405329102925,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-06-01,453.83,122.730003,-2.4776517105037033,-4.079714046417681,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-06-02,453.85,122.769997,-2.0333714680423887,-3.178238095152097,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-03,452.49,122.779999,-2.522619560534245,-2.601934834236619,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-04,450.06,122.389999,-3.0669825543829465,-2.6874438106252008,OUTPERFORM,144.5,135.1,121.7,155.9
1993-06-07,447.69,122.779999,-3.6417640601795087,-2.756219661710446,OUTPERFORM,144.5,135.1,121.7,155.9
1993-06-08,444.71,122.139999,-4.921642828127348,-3.9553346536971734,OUTPERFORM,144.5,135.1,121.7,155.9
1993-06-09,445.78,122.169998,-4.713250539725966,-4.007228035056842,OUTPERFORM,144.5,135.1,121.7,155.9
1993-06-10,445.38,121.970001,-5.0564911532722245,-4.096555275986802,OUTPERFORM,144.5,135.1,121.7,155.9
1993-06-11,447.26,122.18,-4.521390146016568,-2.209061914373911,OUTPERFORM,144.5,135.1,121.7,155.9
1993-06-14,447.71,121.669998,-3.3065526327156536,0.47898424243073556,OUTPERFORM,144.5,135.1,121.7,155.9
1993-06-15,446.27,121.690002,-2.4525126232267436,2.063238227042574,OUTPERFORM,144.5,135.1,121.7,155.9
1993-06-16,447.43,122.099998,-2.641599756293922,1.894346959954163,OUTPERFORM,144.5,135.1,121.7,155.9
1993-06-17,448.54,122.300003,-2.5357988744268867,2.2489774914390415,OUTPERFORM,144.5,135.1,121.7,155.9
1993-06-18,443.68,121.650002,-3.6169704342536857,1.8162026661482367,OUTPERFORM,144.5,135.1,121.7,155.9
1993-06-21,446.22,122.449997,-3.773829034762355,2.3487111530316795,OUTPERFORM,144.5,135.1,121.7,155.9
1993-06-22,445.93,122.75,-3.6118796472419112,3.333613070682606,OUTPERFORM,144.5,135.1,121.7,155.9
1993-06-23,443.19,123.040001,-4.770192741571588,2.9709624733611717,OUTPERFORM,144.5,135.1,121.7,155.9
1993-06-24,446.62,123.690002,-3.693800539083558,4.326926523733587,OUTPERFORM,144.5,135.1,121.7,155.9
1993-06-25,447.6,124.199997,-4.100784162488747,3.130446732541725,OUTPERFORM,144.5,135.1,121.7,155.9
1993-06-28,451.85,125.440002,-2.7882360534411843,4.454997233907809,OUTPERFORM,144.5,135.1,121.7,155.9
1993-06-29,450.69,125.470001,-2.788921961951596,4.654268117893623,OUTPERFORM,144.5,135.1,121.7,155.9
1993-06-30,450.53,125.370003,-2.6091655858192953,5.352943697478985,OUTPERFORM,144.5,135.1,121.7,155.9
1993-07-01,449.02,125.57,-2.2019907215821255,5.3527962857153,OUTPERFORM,144.5,135.1,121.7,155.9
1993-07-02,445.84,125.019997,-3.294796434071534,3.6048720246104615,OUTPERFORM,144.8,135.7,122.1,156.2
1993-07-06,441.43,124.970001,-4.526775672636041,3.6235514697106286,OUTPERFORM,144.8,135.7,122.1,156.2
1993-07-07,442.83,125.309998,-4.3687643070012605,3.476465788215788,OUTPERFORM,144.8,135.7,122.1,156.2
1993-07-08,448.64,126.389999,-2.870751244858194,4.69681738985408,OUTPERFORM,144.8,135.7,122.1,156.2
1993-07-09,448.11,126.269997,-2.9623854999025534,5.400662636043507,OUTPERFORM,144.8,135.7,122.1,156.2
1993-07-12,448.98,126.360001,-2.7950377795578962,6.551990270747621,OUTPERFORM,144.8,135.7,122.1,156.2
1993-07-13,448.09,125.959999,-3.2432899311178875,5.911039266795592,OUTPERFORM,144.8,135.7,122.1,156.2
1993-07-14,450.08,126.449997,-3.1856998429736105,6.573952691547369,OUTPERFORM,144.8,135.7,122.1,156.2
1993-07-15,449.22,126.269997,-3.6897283622408517,5.57692233406224,OUTPERFORM,144.8,135.7,122.1,156.2
1993-07-16,445.75,126.239998,-4.501242608621137,5.278954039564532,OUTPERFORM,144.8,135.7,122.1,156.2
1993-07-19,446.03,126.489998,-4.34493555512665,6.329857988650467,OUTPERFORM,144.8,135.7,122.1,156.2
1993-07-20,447.31,126.5,-3.6343659787151594,6.805131597346636,OUTPERFORM,144.8,135.7,122.1,156.2
1993-07-21,447.18,126.68,-3.6104584743387957,6.930023576179423,OUTPERFORM,144.8,135.7,122.1,156.2
1993-07-22,444.51,126.510002,-4.550139574833578,6.0613707751624,OUTPERFORM,144.8,135.7,122.1,156.2
1993-07-23,447.1,126.690002,-3.4466375847622244,6.515890255323864,OUTPERFORM,144.8,135.7,122.1,156.2
1993-07-26,449.09,127.32,-2.7606963450545696,6.901765019341144,OUTPERFORM,144.8,135.7,122.1,156.2
1993-07-27,448.24,127.059998,-3.2589459144472643,5.945132994246638,OUTPERFORM,144.8,135.7,122.1,156.2
1993-07-28,447.19,126.970001,-4.114670440413393,4.8385764607499215,OUTPERFORM,144.8,135.7,122.1,156.2
1993-07-29,450.24,128.100006,-3.3508640120210376,5.675635161890491,OUTPERFORM,144.8,135.7,122.1,156.2
1993-07-30,448.13,127.790001,-3.6900924134966706,5.341689149149942,OUTPERFORM,144.8,135.7,122.1,156.2
1993-08-02,450.15,128.320007,-3.674141915603868,5.154476810247299,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-03,449.27,128.46000700000002,-3.8747913903034004,5.217471708329002,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-04,448.54,128.529999,-4.675479236621749,4.580957614630465,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-05,448.13,128.979996,-4.843504480400895,4.691557744112607,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-06,448.68,128.610001,-4.653831442050227,4.663089306553303,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-09,450.72,129.029999,-3.8238306589279514,5.632416608556423,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-10,449.45,128.910004,-3.6445492550112535,6.79314478330828,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-11,450.46,129.630005,-3.218459951873498,8.151179641655437,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-12,448.96,129.559998,-3.8403049968943503,8.155936988430291,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-13,450.14,129.770004,-3.7236659180836296,9.022939670863984,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-16,452.38,129.860001,-3.15550607980819,10.490940274746375,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-17,453.13,129.869995,-3.5688444349861626,10.012699449063112,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-18,456.04,129.630005,-4.046121152187165,9.171304685384962,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-19,456.43,129.490005,-3.7331533545651996,9.942270418935895,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-20,456.16,129.729996,-3.7982158297656943,10.16473658008259,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-23,455.23,129.649994,-3.6489089254344242,11.106343112411633,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-24,459.77,130.589996,-3.187972457939403,11.64400691079759,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-25,460.13,131.25,-2.782590323262202,13.000428532063225,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-26,461.04,131.639999,-2.7854507116499727,12.918164986821656,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-27,460.54,131.320007,-2.9011174362218006,12.68234586680672,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-30,461.9,131.669998,-2.7538001600067474,12.663638761094242,OUTPERFORM,145.0,136.3,122.5,156.5
1993-08-31,463.56,132.059998,-2.3508594539939365,13.424373443270632,OUTPERFORM,145.0,136.3,122.5,156.5
1993-09-01,463.15,131.940002,-1.8687628450960947,14.60089067838679,OUTPERFORM,145.0,136.3,122.5,156.5
1993-09-02,461.3,131.479996,-2.042809819077551,14.290677031548359,OUTPERFORM,145.6,136.3,122.6,156.9
1993-09-03,461.34,131.830002,-2.5063398140321214,12.868149498249593,OUTPERFORM,145.6,136.3,122.6,156.9
1993-09-07,458.52,132.009995,-3.8842888586102187,10.867552700092386,OUTPERFORM,145.6,136.3,122.6,156.9
1993-09-08,456.65,132.100006,-4.606225193231673,11.073745900950138,OUTPERFORM,145.6,136.3,122.6,156.9
1993-09-09,457.5,131.649994,-5.006125288096175,10.528077319048968,OUTPERFORM,145.6,136.3,122.6,156.9
1993-09-10,461.72,132.610001,-3.732121262666277,12.286200885456422,OUTPERFORM,145.6,136.3,122.6,156.9
1993-09-13,462.06,133.220001,-4.136929460580907,12.76451847608362,OUTPERFORM,145.6,136.3,122.6,156.9
1993-09-14,459.9,132.669998,-4.3290133344427995,12.690048941899711,OUTPERFORM,145.6,136.3,122.6,156.9
1993-09-15,461.6,132.910004,-1.7475149528532796,15.273200816829103,OUTPERFORM,145.6,136.3,122.6,156.9
1993-09-16,459.43,132.46000700000002,-2.613617093437337,14.823167347233301,OUTPERFORM,145.6,136.3,122.6,156.9
1993-09-17,458.83,132.779999,-2.594204436896297,15.762861789787141,OUTPERFORM,145.6,136.3,122.6,156.9
1993-09-20,455.05,132.100006,-3.7481227658269334,14.719933743466207,OUTPERFORM,145.6,136.3,122.6,156.9
1993-09-21,452.95,131.199997,-3.4077580875610525,15.942022236054342,OUTPERFORM,145.6,136.3,122.6,156.9
1993-09-22,456.2,131.440002,-2.9733293632225988,15.369088036513645,OUTPERFORM,145.6,136.3,122.6,156.9
1993-09-23,457.74,130.830002,-2.656146991897579,15.207823445012746,OUTPERFORM,145.6,136.3,122.6,156.9
1993-09-24,457.63,130.190002,-3.1511893676458125,14.88704729968231,OUTPERFORM,145.6,136.3,122.6,156.9
1993-09-27,461.8,131.339996,-2.324499249138101,17.100562870878644,OUTPERFORM,145.6,136.3,122.6,156.9
1993-09-28,461.53,131.449997,-1.8731130671429175,17.533978631401226,OUTPERFORM,145.6,136.3,122.6,156.9
1993-09-29,460.11,130.5,-1.6207316812418493,18.39956343313769,OUTPERFORM,145.6,136.3,122.6,156.9
1993-09-30,458.93,130.270004,-2.657701607771601,16.562277799529745,OUTPERFORM,145.6,136.3,122.6,156.9
1993-10-01,461.28,130.800003,-1.999192674584127,17.562466878258732,OUTPERFORM,145.6,136.3,122.6,156.9
1993-10-04,461.34,130.350006,-0.6289579115151045,18.2956744115496,OUTPERFORM,146.0,136.5,122.4,157.3
1993-10-05,461.2,129.860001,-1.0449074173407458,17.477835919324814,OUTPERFORM,146.0,136.5,122.4,157.3
1993-10-06,460.74,129.770004,-1.3700389604829333,16.073345722539912,OUTPERFORM,146.0,136.5,122.4,157.3
1993-10-07,459.18,128.649994,-1.132546722935146,15.775729415702045,OUTPERFORM,146.0,136.5,122.4,157.3
1993-10-08,460.31,128.910004,-0.9681375185559671,14.964779674434482,OUTPERFORM,146.0,136.5,122.4,157.3
1993-10-11,460.88,128.429993,-0.46003326062071803,14.7618518537449,OUTPERFORM,146.0,136.5,122.4,157.3
1993-10-12,461.12,127.790001,-0.7789301544949834,13.268924836022,OUTPERFORM,146.0,136.5,122.4,157.3
1993-10-13,461.49,127.540001,-1.1608232850014,12.37004493392071,OUTPERFORM,146.0,136.5,122.4,157.3
1993-10-14,466.83,128.979996,0.2039151712887488,14.445429843267888,OUTPERFORM,146.0,136.5,122.4,157.3
1993-10-15,469.5,129.740005,0.522416820108762,15.901378132903732,OUTPERFORM,146.0,136.5,122.4,157.3
1993-10-18,468.45,129.199997,0.9808148307824949,16.323036823624747,OUTPERFORM,146.0,136.5,122.4,157.3
1993-10-19,466.21,129.050003,-0.04930966469428588,15.63620547735136,OUTPERFORM,146.0,136.5,122.4,157.3
