,S&P 500,S&P 500 Utilities (Sector),S&P 500 Performance (%),S&P 500 Utilities (Sector) Performance (%),S&P 500 Utilities (Sector) Outperform/Underperform,overall,utilities and public transportation,fuels and utilities,shelter
1993-10-20,466.07,128.839996,-0.2824193927983054,15.873723970254083,OUTPERFORM,146.0,136.5,122.4,157.3
1993-10-21,465.36,127.949997,-0.3533114922592562,15.844273857246005,OUTPERFORM,146.0,136.5,122.4,157.3
1993-10-22,463.27,126.800003,-1.3101273912487832,14.450764378998414,OUTPERFORM,146.0,136.5,122.4,157.3
1993-10-25,464.2,126.059998,-1.4228073901040528,13.5880290073519,OUTPERFORM,146.0,136.5,122.4,157.3
1993-10-26,464.3,125.769997,-1.4350613509956256,13.984050715390639,OUTPERFORM,146.0,136.5,122.4,157.3
1993-10-27,464.61,126.260002,-0.8387757715456523,14.552713531548612,OUTPERFORM,146.0,136.5,122.4,157.3
1993-10-28,467.73,127.169998,-0.22824232081911644,14.17669368405532,OUTPERFORM,146.0,136.5,122.4,157.3
1993-10-29,467.83,127.269997,-0.15153455414693706,15.301685503760254,OUTPERFORM,146.0,136.5,122.4,157.3
1993-11-01,469.1,127.18,1.0229352858834861,16.48653599560359,OUTPERFORM,146.0,136.5,122.4,157.3
1993-11-02,468.44,124.940002,1.7065439228798551,15.056641129262038,OUTPERFORM,146.3,137.3,122.5,157.8
1993-11-03,463.02,121.089996,0.6565217391304223,9.971841704006534,OUTPERFORM,146.3,137.3,122.5,157.8
1993-11-04,457.49,119.230003,1.1072312588401578,10.418595746843984,OUTPERFORM,146.3,137.3,122.5,157.8
1993-11-05,459.57,119.830002,3.1466726517787036,12.919335292517854,OUTPERFORM,146.3,137.3,122.5,157.8
1993-11-08,460.21,119.610001,3.2393386724095308,13.149183739941206,OUTPERFORM,146.3,137.3,122.5,157.8
1993-11-09,460.33,119.480003,4.877882074182072,15.194756891681859,OUTPERFORM,146.3,137.3,122.5,157.8
1993-11-10,463.72,119.639999,3.441968368689907,13.209688682816045,OUTPERFORM,146.3,137.3,122.5,157.8
1993-11-11,462.64,118.790001,3.2563329985492606,13.133334285714282,OUTPERFORM,146.3,137.3,122.5,157.8
1993-11-12,465.39,119.489998,3.218151171043293,13.378877629555719,OUTPERFORM,146.3,137.3,122.5,157.8
1993-11-15,463.75,118.559998,3.7239991053455546,13.682996320999163,OUTPERFORM,146.3,137.3,122.5,157.8
1993-11-16,466.74,120.43,3.7499722141952185,15.012893849803222,OUTPERFORM,146.3,137.3,122.5,157.8
1993-11-17,464.81,120.089996,3.851911432848487,15.083850792215635,OUTPERFORM,146.3,137.3,122.5,157.8
1993-11-18,463.62,119.889999,3.89010890512258,14.661439645398634,OUTPERFORM,146.3,137.3,122.5,157.8
1993-11-19,462.6,119.0,3.6336753438774183,13.354921508241912,OUTPERFORM,146.3,137.3,122.5,157.8
1993-11-22,459.13,119.190002,2.9024160652651343,13.492673209655504,OUTPERFORM,146.3,137.3,122.5,157.8
1993-11-23,461.03,120.669998,4.19698955837815,15.088221556284642,OUTPERFORM,146.3,137.3,122.5,157.8
1993-11-24,462.36,120.599998,4.4786911917566785,14.551670920893534,OUTPERFORM,146.3,137.3,122.5,157.8
1993-11-26,463.06,121.099998,4.774187709294964,12.389789327146161,OUTPERFORM,146.3,137.3,122.5,157.8
1993-11-29,461.9,120.720001,2.9349497470639196,11.43727385881521,OUTPERFORM,146.3,137.3,122.5,157.8
1993-11-30,461.79,119.800003,3.1633268547684557,12.4038288158411,OUTPERFORM,146.3,137.3,122.5,157.8
1993-12-01,461.89,118.589996,2.0277882087870847,10.264986231567086,OUTPERFORM,146.3,137.3,122.5,157.8
1993-12-02,463.11,118.93,2.4874410781862144,11.514297018016006,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-03,464.89,118.650002,3.5159207303495865,12.485777991492863,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-06,466.43,119.599998,3.4419285444988956,12.163557502491539,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-07,466.76,119.910004,3.032978676438125,13.197398281884265,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-08,466.29,118.959999,2.926958479570896,13.122855149377898,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-09,464.18,118.440002,2.758345877977497,13.069214319809074,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-10,463.93,118.470001,2.7803624440604358,14.254025185571884,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-13,465.7,119.279999,3.9926756286007725,17.09040491537044,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-14,463.06,118.940002,4.688913004159878,20.65327610766332,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-15,461.84,119.099998,3.549247774713571,20.87688948418642,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-16,463.34,119.93,4.949149471109182,24.344223670634246,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-17,466.38,121.110001,5.099718309859158,25.48958500695089,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-20,465.85,121.220001,4.888098347367964,24.519777596708316,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-21,465.3,121.309998,4.681770118562856,25.281416394063495,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-22,467.32,122.029999,3.9944811625164167,24.507699734563836,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-23,467.38,122.089996,3.017478895280923,22.310154277699866,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-27,470.54,122.900002,3.0800911321416047,22.99840318251407,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-28,470.94,123.199997,3.5214982854128163,23.385077083326532,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-29,470.58,122.879997,3.8349514563106757,23.634166652924506,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-30,468.64,122.150002,3.0408302368021722,22.603639142938036,OUTPERFORM,146.3,136.7,122.2,158.2
1993-12-31,466.45,120.709999,2.215453390016209,19.83519845621369,OUTPERFORM,146.3,136.7,122.2,158.2
1994-01-03,465.44,119.860001,1.833457314138176,18.146874858951456,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-04,466.89,119.790001,2.0903942448560198,18.147748477638316,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-05,467.55,119.029999,2.420591456736032,18.085312953810128,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-06,467.12,117.529999,2.07372768393681,16.216753175618102,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-07,469.9,118.050003,2.676718015951063,17.415955665248095,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-10,475.27,118.739998,3.2903744593919093,17.552713245169514,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-11,474.13,117.779999,3.3233089260809034,15.925198148133823,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-12,474.17,117.760002,3.4831190938652723,16.202887949590995,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-13,472.47,116.690002,3.371548593182516,15.13567272098022,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-14,474.91,116.970001,3.7238457170314154,15.8577675897164,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-17,473.3,116.150002,3.1896570519109657,14.86352705112164,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-18,474.25,116.580002,3.2999346547593067,15.038490824491447,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-19,474.3,116.540001,2.580184700564492,14.59194143339062,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-20,474.98,116.870003,3.1197759492846533,15.358804962171657,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-21,474.72,116.43,2.7688177862446706,15.88533775370422,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-24,471.97,115.129997,2.9490675100883434,15.406971423276428,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-25,470.92,115.040001,3.3898305084745672,16.166820318760177,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-26,473.2,116.800003,4.843355341870881,19.696659772562832,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-27,477.05,119.07,5.288132600587092,21.067618120337926,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-28,478.7,118.93,6.4653159264284055,22.0045099916544,OUTPERFORM,146.7,137.4,123.1,158.8
1994-01-31,481.61,119.110001,8.764679313459812,23.750650389610396,OUTPERFORM,146.7,137.4,123.1,158.8
1994-02-01,479.62,118.099998,7.223178556258514,21.70238745154176,OUTPERFORM,146.7,137.4,123.1,158.8
1994-02-02,482.0,118.139999,8.054789607012358,21.85662986663115,OUTPERFORM,147.1,137.7,123.4,159.4
1994-02-03,480.71,117.730003,7.390031946026854,20.625005545594366,OUTPERFORM,147.1,137.7,123.4,159.4
1994-02-04,469.81,115.300003,5.748756386881859,18.609200890949506,OUTPERFORM,147.1,137.7,123.4,159.4
1994-02-07,471.76,115.360001,5.728372926938596,18.015346291560096,OUTPERFORM,147.1,137.7,123.4,159.4
1994-02-08,471.05,114.699997,5.5290454107578935,17.496407985154438,OUTPERFORM,147.1,137.7,123.4,159.4
1994-02-09,472.77,115.150002,5.971353641315313,17.74028473189311,OUTPERFORM,147.1,137.7,123.4,159.4
1994-02-10,468.93,113.160004,4.583166064498867,14.743460309973845,OUTPERFORM,147.1,137.7,123.4,159.4
1994-02-11,470.18,113.93,4.589033477922366,15.2554398635395,OUTPERFORM,147.1,137.7,123.4,159.4
1994-02-14,470.23,113.559998,4.947998035977319,15.46517570849366,OUTPERFORM,147.1,137.7,123.4,159.4
1994-02-15,472.52,113.32,5.484987163745947,15.503005651788747,OUTPERFORM,147.1,137.7,123.4,159.4
1994-02-16,472.79,112.160004,5.361798854545041,14.122919354120045,OUTPERFORM,147.1,137.7,123.4,159.4
1994-02-17,470.34,111.839996,3.733927350521582,12.15402615168446,OUTPERFORM,147.1,137.7,123.4,159.4
1994-02-18,467.69,110.220001,2.979126299101642,9.989025147081376,OUTPERFORM,147.1,137.7,123.4,159.4
1994-02-22,471.46,111.760002,3.5675058213610944,11.927896082681944,OUTPERFORM,147.1,137.7,123.4,159.4
1994-02-23,470.69,111.260002,3.7081919534658336,11.471800650672304,OUTPERFORM,147.1,137.7,123.4,159.4
1994-02-24,464.26,110.190002,2.80336581045173,10.643645371770072,OUTPERFORM,147.1,137.7,123.4,159.4
1994-02-25,466.07,110.540001,2.973862707408137,11.274416600540228,OUTPERFORM,147.1,137.7,123.4,159.4
1994-02-28,467.14,111.800003,3.0963783628699337,11.967957175121825,OUTPERFORM,147.1,137.7,123.4,159.4
1994-03-01,464.44,111.120003,2.2432581177765476,11.454369451987056,OUTPERFORM,147.1,137.7,123.4,159.4
1994-03-02,464.81,112.129997,2.525586730192342,12.931811733993225,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-03,463.01,111.910004,2.3068254634642127,12.348160703261124,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-04,464.74,112.82,2.311553363860508,12.348140058716183,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-07,466.91,113.5,1.8875747392310016,11.34000173945453,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-08,465.88,112.699997,1.0563762174356395,8.867851879864318,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-09,467.06,111.940002,1.411325343060632,7.9355925941142935,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-10,463.9,111.07,0.5309350958933701,6.736500225571795,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-11,466.44,111.599998,1.753926701570685,7.7012109331824785,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-14,467.39,111.190002,2.2533855477039566,8.28788663809894,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-15,467.01,110.449997,1.991744742186996,7.829734452797021,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-16,469.42,110.790001,2.5113556953179517,8.788300620121792,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-17,470.9,110.980003,2.3028459700195514,8.537900244498765,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-18,471.06,110.339996,2.6542887029288753,8.79510764731033,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-21,468.54,110.220001,1.4287569814261714,8.292397409042994,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-22,468.8,111.379997,1.6412635778245033,9.874710174369827,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-23,468.54,110.379997,0.7591234597105423,7.993345152072662,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-24,464.35,109.18,-0.1762796397016153,7.821447603763643,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-25,460.58,108.589996,-0.5591899302631931,8.028252328738116,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-28,460.0,110.110001,-0.7936507936507908,8.933516839463461,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-29,452.48,107.980003,-2.1283959162484822,7.528385929663117,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-30,445.55,106.120003,-4.081720522701337,5.434675500552899,OUTPERFORM,147.2,137.3,122.9,159.5
1994-03-31,445.77,105.709999,-4.959171055156386,4.808643616809016,OUTPERFORM,147.2,137.3,122.9,159.5
1994-04-04,438.92,103.720001,-6.2297043240471695,3.1937110099748978,OUTPERFORM,147.5,136.7,122.8,159.9
1994-04-05,448.29,105.68,-5.3841283241874205,4.025990905639976,OUTPERFORM,147.5,136.7,122.8,159.9
1994-04-06,448.05,105.0,-5.592195368633968,3.204248146338662,OUTPERFORM,147.5,136.7,122.8,159.9
1994-04-07,450.88,105.389999,-5.291238683386901,3.1415139949109383,OUTPERFORM,147.5,136.7,122.8,159.9
