,S&P 500,S&P 500 Real Estate (Sector),S&P 500 Performance (%),S&P 500 Real Estate (Sector) Performance (%),S&P 500 Real Estate (Sector) Outperform/Underperform,overall,commodities,housing,shelters,transportations
2002-02-11,1111.94,92.480003,12.427327785810348,-2.498676910884068,-2.498676910884068,178.5,149.0,179.0,206.3,207.3
2002-02-12,1107.5,91.610001,13.359536530942284,-2.3555734384992477,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-13,1118.51,91.989998,17.38820146301019,-0.9902119905193407,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-14,1116.48,92.470001,21.294556042022016,1.660072577617333,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-15,1104.18,93.330002,19.065745063998186,4.3142963639846155,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-19,1083.34,91.68,17.576704761284567,3.1967628634292256,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-20,1097.98,92.900002,19.614785441155647,5.832767211583123,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-21,1080.95,91.989998,19.980242857459984,4.3680497432272425,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-22,1089.84,93.459999,20.286080084764468,7.536525944700223,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-25,1109.43,93.860001,25.848495848268982,11.182188135090954,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-26,1109.38,93.480003,30.86169271601298,13.529278043686087,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-27,1109.89,93.650002,35.377203146917125,15.16232415150025,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-28,1106.73,93.309998,38.7401278676194,17.459712551366735,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-03-01,1131.78,94.139999,34.187780847254665,17.22077119214971,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-03-04,1153.84,95.25,37.57809891734632,17.072269947489318,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-05,1146.14,96.57,34.39097603301911,14.43299104672342,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-06,1162.77,97.080002,29.34613330960221,8.858490692980482,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-07,1157.54,97.0,28.21949976738518,8.162355040142732,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-08,1164.31,96.809998,27.718786336412094,7.914389788366849,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-11,1168.26,96.120003,32.05751362105216,8.85617183954115,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-12,1165.58,96.389999,34.86762936221419,10.298661291894518,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-13,1154.09,95.809998,38.280613467529335,11.653653691962562,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-14,1153.04,97.040001,34.141489349325816,12.863453842866246,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-15,1166.16,97.089996,33.00637567435019,10.87129838985954,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-18,1165.55,96.470001,28.724626156870524,9.625001136363643,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-19,1170.29,96.709999,28.79578270822327,11.945827201595405,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-20,1151.85,96.459999,27.445231245850856,11.231547379710015,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-21,1153.59,97.080002,30.465613372388887,13.570424184472717,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-22,1148.7,96.949997,24.910289032426448,12.080921387283228,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-25,1131.87,96.660004,21.67374361730716,10.823209002256263,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-26,1138.49,96.599998,22.580402037102832,9.523810981535519,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
