,S&P 500,S&P 500 Financials (Sector),S&P 500 Performance (%),S&P 500 Financials (Sector) Performance (%),S&P 500 Financials (Sector) Outperform/Underperform,overall,purchasing power of the consumer dollar,commodities,other services,housing,shelter,services,other personal services
1993-05-04,444.05,106.129997,-2.967462797456455,-7.656837205255373,-7.656837205255373,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-05,444.52,105.0,-3.7418796015591282,-9.74728931570532,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-06,443.26,104.629997,-3.958572573830521,-10.396506218973355,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-07,442.31,103.550003,-3.868640107800314,-10.98598708869617,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-10,442.8,103.940002,-3.514697230514452,-10.17197917355439,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-11,444.36,105.339996,-3.668054110301755,-9.353758793165468,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-12,444.8,105.010002,-3.585208306238341,-9.831699380316838,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-13,439.23,102.690002,-4.76366001734605,-11.35951335968085,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-14,439.56,101.300003,-4.596952728219817,-12.642287104538518,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-17,440.37,100.800003,-4.096432771462178,-12.704596754961484,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-18,440.32,100.970001,-4.342725554517612,-12.911851597173518,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-19,447.57,103.220001,-2.887953480298555,-10.85585965233734,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-20,450.59,103.790001,-2.2835704371964027,-10.825670683268928,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-21,445.84,102.199997,-3.391189408221207,-12.289735984116101,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-24,448.0,102.360001,-4.033588244114561,-11.545108783744308,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-25,448.85,102.779999,-4.398296059637907,-10.22796681331062,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-26,453.44,105.349998,-3.2041840111004305,-5.777658631207549,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-27,452.41,104.879997,-2.9600394671928876,-5.368586928294006,UNDERPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
