,S&P 500,S&P 500 Industrials (Sector),S&P 500 Performance (%),S&P 500 Industrials (Sector) Performance (%),S&P 500 Industrials (Sector) Outperform/Underperform,overall,energy,commodities,communication,transportation,services,durable
1993-05-04,444.05,94.949997,-2.967462797456455,-4.236011008855057,-4.236011008855057,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-05,444.52,95.599998,-3.7418796015591282,-4.552721463549458,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-06,443.26,96.019997,-3.958572573830521,-4.181221476711117,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-07,442.31,95.919998,-3.868640107800314,-3.9359039346199998,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-10,442.8,95.910004,-3.514697230514452,-3.695142230952597,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-11,444.36,95.940002,-3.668054110301755,-4.079179286518075,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-12,444.8,96.419998,-3.585208306238341,-3.6859484198786374,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-13,439.23,95.760002,-4.76366001734605,-4.057705722025961,OUTPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-14,439.56,95.82,-4.596952728219817,-3.833800720933378,OUTPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-17,440.37,95.580002,-4.096432771462178,-3.5422284203139975,OUTPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-18,440.32,95.059998,-4.342725554517612,-4.221664483627208,OUTPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-19,447.57,96.199997,-2.887953480298555,-3.082817789989567,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-20,450.59,96.599998,-2.2835704371964027,-2.1078252938792175,OUTPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-21,445.84,95.989998,-3.391189408221207,-2.696405419231518,OUTPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-24,448.0,96.480003,-4.033588244114561,-2.169945178363053,OUTPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-25,448.85,96.599998,-4.398296059637907,-2.8559975290426975,OUTPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-26,453.44,97.309998,-3.2041840111004305,-2.3874049074650516,OUTPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-27,452.41,97.610001,-2.9600394671928876,-2.1649755086190936,OUTPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-28,450.19,96.779999,-3.407213508700413,-2.2424252525252486,OUTPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-06-01,453.83,97.910004,-2.4776517105037033,-0.760186468267321,OUTPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-06-02,453.85,98.279999,-2.0333714680423887,-0.5464490993725812,OUTPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-03,452.49,97.959999,-2.522619560534245,-1.3096947146948534,OUTPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-04,450.06,97.699997,-3.0669825543829465,-2.0355017937781494,OUTPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-07,447.69,97.660004,-3.6417640601795087,-2.2715861102772017,OUTPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-08,444.71,96.730003,-4.921642828127348,-3.827797696802593,OUTPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-09,445.78,96.860001,-4.713250539725966,-3.7176909287811366,OUTPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-10,445.38,96.050003,-5.0564911532722245,-5.126427402734635,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-11,447.26,96.650002,-4.521390146016568,-4.6656097257529066,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-14,447.71,96.279999,-3.3065526327156536,-4.14177908917206,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-15,446.27,96.489998,-2.4525126232267436,-2.8102347180724685,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-16,447.43,96.839996,-2.641599756293922,-2.5460470198436003,OUTPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-17,448.54,96.690002,-2.5357988744268867,-2.775259007800668,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-18,443.68,96.260002,-3.6169704342536857,-3.56641755159286,OUTPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-21,446.22,97.089996,-3.773829034762355,-3.267915614190031,OUTPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-22,445.93,96.650002,-3.6118796472419112,-3.533286684633463,OUTPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-23,443.19,96.610001,-4.770192741571588,-3.97574789806433,OUTPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-24,446.62,96.989998,-3.693800539083558,-3.492539303482589,OUTPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-25,447.6,96.690002,-4.100784162488747,-4.324159990583009,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-28,451.85,97.550003,-2.7882360534411843,-3.300945776197828,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-29,450.69,97.400002,-2.788921961951596,-3.248232904504489,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-30,450.53,97.379997,-2.6091655858192953,-3.4311772483608505,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-07-01,449.02,96.959999,-2.2019907215821255,-3.3781754534763397,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-07-02,445.84,96.739998,-3.294796434071534,-3.5685825358851564,UNDERPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-07-06,441.43,95.720001,-4.526775672636041,-4.88871030294824,UNDERPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-07-07,442.83,95.580002,-4.3687643070012605,-5.46928982821393,UNDERPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-07-08,448.64,96.699997,-2.870751244858194,-4.22898282431432,UNDERPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-07-09,448.11,96.790001,-2.9623854999025534,-4.206254906905638,UNDERPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-07-12,448.98,96.800003,-2.7950377795578962,-4.167903095378611,UNDERPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-07-13,448.09,96.690002,-3.2432899311178875,-4.701357231434622,UNDERPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-07-14,450.08,97.449997,-3.1856998429736105,-4.273090247354916,UNDERPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-07-15,449.22,97.730003,-3.6897283622408517,-4.270734813232824,UNDERPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-07-16,445.75,97.849998,-4.501242608621137,-4.29381855034856,OUTPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-07-19,446.03,97.769997,-4.34493555512665,-4.698312884230926,UNDERPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-07-20,447.31,97.639999,-3.6343659787151594,-5.056395568121175,UNDERPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-07-21,447.18,97.769997,-3.6104584743387957,-4.957719307153119,UNDERPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-07-22,444.51,97.309998,-4.550139574833578,-5.935233618228142,UNDERPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-07-23,447.1,97.839996,-3.4466375847622244,-5.514250926675501,UNDERPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-07-26,449.09,98.290001,-2.7606963450545696,-5.381205392218103,UNDERPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-07-27,448.24,97.860001,-3.2589459144472643,-5.9761730212111175,UNDERPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-07-28,447.19,97.639999,-4.114670440413393,-7.000665911051829,UNDERPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-07-29,450.24,98.449997,-3.3508640120210376,-6.005347641881764,UNDERPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-07-30,448.13,98.089996,-3.6900924134966706,-6.277477306421664,UNDERPERFORM,144.8,103.4,131.6,,130.5,158.6,121.7
1993-08-02,450.15,98.540001,-3.674141915603868,-6.170249652549509,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-03,449.27,98.540001,-3.8747913903034004,-6.1255596253638185,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-04,448.54,98.239998,-4.675479236621749,-6.978508597874167,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-05,448.13,98.580002,-4.843504480400895,-6.585802203978042,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-06,448.68,98.790001,-4.653831442050227,-6.413411451561402,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-09,450.72,99.400002,-3.8238306589279514,-5.5940725083666765,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-10,449.45,99.57,-3.6445492550112535,-5.171428571428582,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-11,450.46,99.720001,-3.218459951873498,-4.299420469273141,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-12,448.96,99.199997,-3.8403049968943503,-5.035422219370311,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-13,450.14,99.330002,-3.7236659180836296,-5.092682778800583,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-16,452.38,99.279999,-3.15550607980819,-5.797514050645358,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-17,453.13,99.389999,-3.5688444349861626,-6.08523375063339,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-18,456.04,99.879997,-4.046121152187165,-6.6367599559704615,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-19,456.43,100.050003,-3.7331533545651996,-6.6349390953736815,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-20,456.16,100.089996,-3.7982158297656943,-6.719484434683576,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-23,455.23,99.559998,-3.6489089254344242,-7.014104791258058,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-24,459.77,100.599998,-3.187972457939403,-6.7828022013121325,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-25,460.13,101.059998,-2.782590323262202,-6.425927777777785,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-26,461.04,100.849998,-2.7854507116499727,-7.161925080417708,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-27,460.54,100.660004,-2.9011174362218006,-7.727557346321657,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-30,461.9,100.93,-2.7538001600067474,-7.403669724770634,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-08-31,463.56,101.400002,-2.3508594539939365,-6.9724752293578,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-09-01,463.15,101.029999,-1.8687628450960947,-7.21829375717048,UNDERPERFORM,145.0,103.0,131.3,,130.4,159.0,122.1
1993-09-02,461.3,100.32,-2.042809819077551,-6.990544159182798,UNDERPERFORM,145.6,105.3,132.2,,132.0,159.4,122.5
