,S&P 500,S&P 500 Energy (Sector),S&P 500 Performance (%),S&P 500 Energy (Sector) Performance (%),S&P 500 Energy (Sector) Outperform/Underperform,overall,energy,energy commodities,fuels and utilities,transportation,transportation services,utilities and public transportation
1993-01-04,435.38,90.74,-3.5425482420187504,-7.152358538831482,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-05,434.34,90.91,-3.1161473087818803,-7.395334623612104,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-06,434.52,90.89,-3.843855805616414,-8.08050161812297,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-07,430.73,89.91,-4.320494024612376,-9.200161583518485,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-08,429.05,88.9,-4.417661735875955,-10.473313192346412,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-11,430.95,89.17,-3.9687137891077695,-9.563894523326566,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-12,431.04,88.96,-3.800745419242524,-10.548014077425849,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-13,433.03,89.84,-3.9589247693399665,-10.366157836974955,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-14,435.94,89.26,-2.6441556121309495,-10.543195029063934,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-15,437.15,88.99,-3.0214965503471802,-11.47035415837644,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-18,436.84,88.2,-3.3475673164148123,-12.517357667129525,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-19,435.13,87.89,-3.6619655943498586,-12.32917705735661,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-20,433.37,87.72,-3.759715745058856,-12.086590499098016,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-21,435.49,87.5,-1.3366863771267945,-12.403644008409254,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-22,436.11,87.64,-1.3972732822356337,-13.7656203876808,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-25,440.01,91.19,-0.2606763985855576,-10.764262648008616,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-26,439.95,92.13,-0.6279222099247916,-10.39680995915191,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-27,438.11,91.24,-0.844196994387103,-11.253769088610067,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-28,438.66,92.84,-2.165622142427004,-10.308182784272057,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-29,438.78,92.42,-2.3240283157473063,-10.997688751926038,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
