,S&P 500,S&P 500 Consumer Staples (Sector),S&P 500 Performance (%),S&P 500 Consumer Staples (Sector) Performance (%),S&P 500 Consumer Staples (Sector) Outperform/Underperform,overall,food and beverages,food,nondurables,household furnishings and operations,household furnishings and supplies,tobacco and smoking products,domestically produced farm food,footwear,infants' and toddlers' apparel,men's apparel,women's apparel
1993-05-04,444.05,88.18,-6.025141792939981,-5.730169919497863,-5.730169919497863,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-05,444.52,88.82,-5.979398887455323,-5.641131593789394,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-06,443.26,88.400002,-5.7575371008206755,-5.119669531387139,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-07,442.31,89.019997,-5.426671513181802,-4.176539199643936,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-10,442.8,89.510002,-6.078988673482366,-4.988851554918283,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-11,444.36,89.940002,-5.593915315812947,-4.380178702534088,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-12,444.8,89.32,-4.191616766467066,-3.6565624383190887,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-13,439.23,88.309998,-5.758791597828649,-4.899852413311956,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-14,439.56,88.639999,-5.904011645331164,-4.616378994942439,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-17,440.37,88.989998,-5.1825854792868835,-3.6383325097635644,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-18,440.32,88.510002,-5.268819517652378,-4.209956618832111,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-19,447.57,90.279999,-3.334701194358658,-1.290181514215838,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-20,450.59,90.849998,-3.0447131729569255,-0.6234959663858342,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-21,445.84,90.080002,-4.512646976933466,-2.150766937883275,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-24,448.0,89.68,-3.8378981712028803,-2.1494838592583942,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-25,448.85,90.0,-3.8988566779428746,-1.7252696718656924,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-26,453.44,90.470001,-2.254796292304373,-0.5824164835164902,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-27,452.41,89.809998,-3.0078895463510835,-1.879166414062794,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-28,450.19,89.480003,-3.680010269796097,-2.559075409799072,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-06-01,453.83,89.82,-2.8222093745315924,-1.964639752303876,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-06-02,453.85,89.410004,-3.3168591027225025,-2.529160497247551,OUTPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-03,452.49,88.660004,-3.9095349331068063,-3.6827798908382503,OUTPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-04,450.06,88.07,-4.458030824098847,-4.6758296858516175,UNDERPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-07,447.69,87.599998,-4.4499935971315185,-4.616722762052383,UNDERPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-08,444.71,86.93,-5.138651877133116,-5.212080527882234,UNDERPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-09,445.78,86.610001,-4.857642890681701,-5.39596050040545,UNDERPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-10,445.38,87.110001,-4.085280499623134,-4.15887120870142,UNDERPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-11,447.26,87.989998,-2.8920057319032466,-2.6120642526190174,OUTPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-14,447.71,88.190002,-2.6717391304347915,-2.9172106084196625,UNDERPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-15,446.27,87.58000200000002,-1.3724363507779391,-2.4395622960753593,UNDERPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-16,447.43,87.83000200000002,0.42195039838401893,-1.4474876083655164,UNDERPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-17,448.54,88.25,0.6213966843888086,-0.8872428022546952,UNDERPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-18,443.68,87.43,1.0844800874874716,-0.17127425961923626,UNDERPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-21,446.22,87.889999,-0.4617546677374018,-0.5431752672906409,UNDERPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-22,445.93,87.769997,-0.47316147751367277,-0.6452332191638321,UNDERPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-23,443.19,87.540001,-1.705553584102204,-1.6625433047363525,OUTPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-24,446.62,88.309998,-0.10735853276672147,-0.04527447753875924,OUTPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-25,447.6,88.489998,-0.504590214950984,0.0339125032094989,OUTPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-28,451.85,89.16999799999998,0.9562749960900119,1.433277150118184,OUTPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-29,450.69,89.32,0.9926948415721837,1.0178715453035947,OUTPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-30,450.53,89.18,0.9297011514852738,0.6205607792133971,UNDERPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-07-01,449.02,88.900002,0.636514411224165,0.5656108469318744,UNDERPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-07-02,445.84,88.309998,0.7639108619988288,0.6840713793646147,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-07-06,441.43,87.110001,-0.25082478420029863,-1.6150892069676015,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-07-07,442.83,87.709999,0.19685039370078705,-1.5158309345571719,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-07-08,448.64,88.82,-0.020056604194063077,-1.5953932728696496,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-07-09,448.11,88.57,0.10723141880570886,-1.5013323287662694,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-07-12,448.98,89.190002,-0.8239270172958335,-1.7406577638203524,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-07-13,448.09,88.540001,-0.8365237789629831,-2.6712102597426512,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-07-14,450.08,89.029999,0.2182142061901482,-1.8195864578738452,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-07-15,449.22,88.940002,-0.37479763145639167,-2.4566769028295687,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-07-16,445.75,87.730003,-1.6047856606772326,-3.6675052157680854,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-07-19,446.03,87.709999,-1.5451515352184142,-3.6153857142857238,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-07-20,447.31,87.589996,-0.9762684849021541,-2.9258638060778885,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-07-21,447.18,87.309998,-0.9304798617572718,-2.3814892132940857,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-07-22,444.51,86.790001,-0.7391362601045115,-2.307513611324341,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-07-23,447.1,86.540001,1.0806655814794786,-1.2100422650694553,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-07-26,449.09,86.18,0.6905674760655511,-2.1237966340557635,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-07-27,448.24,86.019997,1.5289134521733194,-1.0809590740680552,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-07-28,447.19,85.709999,0.7752112676056244,-2.7128252602230507,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-07-29,450.24,86.519997,1.3734408069527637,-1.8491264469852164,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-07-30,448.13,85.970001,0.818916061103736,-2.880700504316569,UNDERPERFORM,144.8,141.9,141.1,134.8,119.2,,227.5,142.4,125.0,128.4,129.6,134.0
1993-08-02,450.15,85.93,0.17357634020962465,-4.095980002142408,UNDERPERFORM,145.0,142.1,141.4,134.4,119.6,,215.7,142.6,126.1,126.5,129.1,132.6
1993-08-03,449.27,85.769997,-0.974233507461042,-4.551528994530052,UNDERPERFORM,145.0,142.1,141.4,134.4,119.6,,215.7,142.6,126.1,126.5,129.1,132.6
