,S&P 500,S&P 500 Health Care (Sector),S&P 500 Performance (%),S&P 500 Health Care (Sector) Performance (%),S&P 500 Health Care (Sector) Outperform/Underperform,overall,medical Care,medical care commodities,medical care services,personal Care
1993-05-04,444.05,90.959999,-6.025141792939981,3.9424030638234964,3.9424030638234964,144.3,201.3,194.7,202.9,
1993-05-05,444.52,91.760002,-5.979398887455323,5.689935498733023,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-06,443.26,90.550003,-5.7575371008206755,5.058592526775896,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-07,442.31,90.120003,-5.426671513181802,4.900475851450303,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-10,442.8,90.230003,-6.078988673482366,4.69946971455093,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-11,444.36,90.489998,-5.593915315812947,5.013345828324178,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-12,444.8,89.620003,-4.191616766467066,6.059175147928997,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-13,439.23,88.040001,-5.758791597828649,3.4790772571913875,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-14,439.56,89.400002,-5.904011645331164,4.659335159431888,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-17,440.37,90.809998,-5.1825854792868835,6.672149888599188,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-18,440.32,90.389999,-5.268819517652378,6.56684626267392,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-19,447.57,91.540001,-3.334701194358658,9.288441755290311,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-20,450.59,92.330002,-3.0447131729569255,10.376568789562013,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-21,445.84,91.330002,-4.512646976933466,8.070050690567964,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-24,448.0,91.519997,-3.8378981712028803,8.384645703821736,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-25,448.85,90.910004,-3.8988566779428746,6.265342854517497,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-26,453.44,92.050003,-2.254796292304373,8.84474754641127,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-27,452.41,90.400002,-3.0078895463510835,6.641506664203378,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-28,450.19,90.870003,-3.680010269796097,7.158018614692718,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-06-01,453.83,91.279999,-2.8222093745315924,8.369934404490053,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-06-02,453.85,90.360001,-3.3168591027225025,7.074300356372798,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-03,452.49,89.589996,-3.9095349331068063,5.71090973451327,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-04,450.06,88.18,-4.458030824098847,3.875604946113853,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-07,447.69,88.029999,-4.4499935971315185,3.127926392596936,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-08,444.71,87.510002,-5.138651877133116,4.502034977359326,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-09,445.78,87.93,-4.857642890681701,5.990840236148043,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-10,445.38,89.379997,-4.085280499623134,7.946852369075397,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-11,447.26,90.669998,-2.8920057319032466,10.049762229029756,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-14,447.71,91.089996,-2.6717391304347915,10.842049160379652,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-15,446.27,90.379997,-1.3724363507779391,10.529534445256239,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-16,447.43,91.529999,0.42195039838401893,13.758389432741613,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-17,448.54,91.959999,0.6213966843888086,14.349665862961135,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-18,443.68,89.019997,1.0844800874874716,12.55531862714976,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-21,446.22,88.68,-0.4617546677374018,9.793244142376277,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-22,445.93,87.91999799999998,-0.47316147751367277,10.01001026051076,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-23,443.19,87.519997,-1.705553584102204,8.666496043376014,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-24,446.62,88.32,-0.10735853276672147,10.635096814854105,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-25,447.6,88.790001,-0.504590214950984,10.106649430886039,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-28,451.85,88.099998,0.9562749960900119,9.754579908605198,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-29,450.69,88.730003,0.9926948415721837,10.223606211180126,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-30,450.53,87.489998,0.9297011514852738,9.38984085809549,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-07-01,449.02,86.07,0.636514411224165,8.236925612560064,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-07-02,445.84,85.050003,0.7639108619988288,6.578947121092216,OUTPERFORM,144.8,202.8,196.1,204.4,
1993-07-06,441.43,84.040001,-0.25082478420029863,4.47538402597254,OUTPERFORM,144.8,202.8,196.1,204.4,
1993-07-07,442.83,84.730003,0.19685039370078705,5.032856205103675,OUTPERFORM,144.8,202.8,196.1,204.4,
1993-07-08,448.64,86.08000200000002,-0.020056604194063077,4.137427818174344,OUTPERFORM,144.8,202.8,196.1,204.4,
1993-07-09,448.11,85.68,0.10723141880570886,3.4033296716952766,OUTPERFORM,144.8,202.8,196.1,204.4,
1993-07-12,448.98,85.699997,-0.8239270172958335,3.14117357762298,OUTPERFORM,144.8,202.8,196.1,204.4,
1993-07-13,448.09,86.529999,-0.8365237789629831,4.986655059127787,OUTPERFORM,144.8,202.8,196.1,204.4,
1993-07-14,450.08,86.66999799999998,0.2182142061901482,4.396532319797575,OUTPERFORM,144.8,202.8,196.1,204.4,
1993-07-15,449.22,84.790001,-0.37479763145639167,2.2305268331196837,OUTPERFORM,144.8,202.8,196.1,204.4,
1993-07-16,445.75,83.33000200000002,-1.6047856606772326,-2.9127344072530703,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-19,446.03,83.279999,-1.5451515352184142,-2.914432302569736,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-20,447.31,84.650002,-0.9762684849021541,-0.6805127063060135,OUTPERFORM,144.8,202.8,196.1,204.4,
1993-07-21,447.18,83.910004,-0.9304798617572718,-1.247495571996049,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-22,444.51,83.0,-0.7391362601045115,-1.565464895635671,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-23,447.1,84.209999,1.0806655814794786,0.011878860280711834,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-26,449.09,83.900002,0.6905674760655511,-1.7449315112417318,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-27,448.24,83.940002,1.5289134521733194,-1.0724761596340837,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-28,447.19,82.489998,0.7752112676056244,-3.3169268635724225,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-29,450.24,81.68,1.3734408069527637,-4.187683284457466,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-07-30,448.13,80.75,0.818916061103736,-5.808938324660962,UNDERPERFORM,144.8,202.8,196.1,204.4,
1993-08-02,450.15,80.75,0.17357634020962465,-6.819759666754688,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-03,449.27,80.989998,-0.974233507461042,-6.585927563526905,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-04,448.54,80.870003,-1.7393971258324536,-6.735089456061461,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-05,448.13,79.91999799999998,-1.4925701222192944,-7.360611128803008,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-06,448.68,80.110001,-0.9973521624006998,-6.8488360465116305,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-09,450.72,79.099998,-0.8992766210065728,-8.671057514478031,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-10,449.45,78.199997,-1.5098391550159906,-10.464849345768235,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-11,450.46,77.339996,-1.4440117271255493,-12.3129267226619,UNDERPERFORM,145.0,203.6,196.4,205.3,
1993-08-12,448.96,76.889999,-1.8301882666783342,-12.714266668828088,UNDERPERFORM,145.0,203.6,196.4,205.3,
