,S&P 500,S&P 500 Materials (Sector),S&P 500 Performance (%),S&P 500 Materials (Sector) Performance (%),S&P 500 Materials (Sector) Outperform/Underperform,overall,transportation,energy,energy commodities,fuels and utilities,transportation services
1993-05-04,444.05,90.040001,-6.025141792939981,-12.420968046317816,-12.420968046317816,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-05,444.52,89.93,-5.979398887455323,-13.07751704115132,UNDERPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-06,443.26,89.5,-5.7575371008206755,-13.317191283292972,UNDERPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-07,442.31,89.239998,-5.426671513181802,-13.055340150578143,UNDERPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-10,442.8,88.970001,-6.078988673482366,-13.055800585247713,UNDERPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-11,444.36,89.43,-5.593915315812947,-12.314931117068939,UNDERPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-12,444.8,90.349998,-4.191616766467066,-10.117388881338707,UNDERPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-13,439.23,90.330002,-5.758791597828649,-10.732285586870539,UNDERPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-14,439.56,89.91999799999998,-5.904011645331164,-11.373941566863232,UNDERPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-17,440.37,89.650002,-5.1825854792868835,-10.796017910447764,UNDERPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-18,440.32,90.010002,-5.268819517652378,-10.052960927350851,UNDERPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-19,447.57,91.150002,-3.334701194358658,-8.73135149500296,UNDERPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-20,450.59,91.699997,-3.0447131729569255,-8.674441443105618,UNDERPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-21,445.84,91.239998,-4.512646976933466,-9.815162791641063,UNDERPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-24,448.0,91.580002,-3.8378981712028803,-9.164846260662562,UNDERPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-25,448.85,92.349998,-3.8988566779428746,-8.808135937833594,UNDERPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-26,453.44,92.580002,-2.254796292304373,-8.154762654124138,UNDERPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-27,452.41,93.0,-3.0078895463510835,-7.966356022770238,UNDERPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-28,450.19,92.169998,-3.680010269796097,-9.290427031882409,UNDERPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-06-01,453.83,92.519997,-2.8222093745315924,-8.766400403652487,UNDERPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-06-02,453.85,92.540001,-3.3168591027225025,-9.265611516141025,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-03,452.49,92.419998,-3.9095349331068063,-10.428379530916843,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-04,450.06,91.989998,-4.458030824098847,-11.08641128055684,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-07,447.69,92.07,-4.4499935971315185,-9.98240037135707,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-08,444.71,90.870003,-5.138651877133116,-11.6394335526812,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-09,445.78,90.419998,-4.857642890681701,-12.705159051840898,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-10,445.38,89.989998,-4.085280499623134,-12.298999003030897,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-11,447.26,89.599998,-2.8920057319032466,-11.76760674246362,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-14,447.71,89.239998,-2.6717391304347915,-11.905236567465849,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-15,446.27,88.550003,-1.3724363507779391,-10.501312704642963,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-16,447.43,88.75,0.42195039838401893,-8.759121273541314,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-17,448.54,89.589996,0.6213966843888086,-7.74380076466068,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-18,443.68,89.279999,1.0844800874874716,-6.581564298419995,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-21,446.22,89.66999799999998,-0.4617546677374018,-8.115583896529744,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-22,445.93,89.349998,-0.47316147751367277,-8.527848075348087,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-23,443.19,88.720001,-1.705553584102204,-9.68136181366095,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-24,446.62,89.07,-0.10735853276672147,-8.870470817893828,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-25,447.6,89.010002,-0.504590214950984,-9.432231475704434,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-28,451.85,89.599998,0.9562749960900119,-8.30945857235511,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-29,450.69,89.08000200000002,0.9926948415721837,-8.231171319666187,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-30,450.53,89.650002,0.9297011514852738,-7.491488701207771,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-07-01,449.02,90.519997,0.636514411224165,-5.943475809299159,UNDERPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-07-02,445.84,90.239998,0.7639108619988288,-5.210083147376565,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-06,441.43,89.279999,-0.25082478420029863,-5.061677955532984,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-07,442.83,89.209999,0.19685039370078705,-3.9823537194121794,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-08,448.64,89.849998,-0.020056604194063077,-3.7596432759249843,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-09,448.11,90.019997,0.10723141880570886,-3.6601080124120777,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-12,448.98,89.980003,-0.8239270172958335,-6.20243615136038,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-13,448.09,89.900002,-0.8365237789629831,-6.974334716207931,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-14,450.08,90.43,0.2182142061901482,-6.26101475835995,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-15,449.22,90.199997,-0.37479763145639167,-7.039062218273351,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-16,445.75,89.989998,-1.6047856606772326,-8.060890112205465,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-19,446.03,89.769997,-1.5451515352184142,-8.238786502324702,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-20,447.31,89.639999,-0.9762684849021541,-7.768291845492503,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-21,447.18,89.839996,-0.9304798617572718,-7.875308896902455,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-22,444.51,89.389999,-0.7391362601045115,-7.635875259721791,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-23,447.1,89.739998,1.0806655814794786,-6.501359455052313,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-26,449.09,90.699997,0.6905674760655511,-5.619147879690911,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-27,448.24,90.300003,1.5289134521733194,-5.86885958511415,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-28,447.19,89.760002,0.7752112676056244,-6.733163065942705,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-29,450.24,90.230003,1.3734408069527637,-6.844928692495056,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-07-30,448.13,89.900002,0.818916061103736,-7.376876311083369,UNDERPERFORM,144.8,130.5,103.4,95.0,122.1,163.9
1993-08-02,450.15,90.080002,0.17357634020962465,-7.752175980498199,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-03,449.27,90.18,-0.974233507461042,-8.826209328633727,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-04,448.54,89.889999,-1.7393971258324536,-10.46813026955915,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-05,448.13,89.25,-1.4925701222192944,-11.061283728177052,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-06,448.68,89.370003,-0.9973521624006998,-11.145355713951965,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-09,450.72,89.739998,-0.8992766210065728,-10.599720380545541,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-10,449.45,89.959999,-1.5098391550159906,-10.771673279111283,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-11,450.46,90.089996,-1.4440117271255493,-10.669313052440522,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-12,448.96,89.269997,-1.8301882666783342,-11.640108993765308,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-13,450.14,90.25,-1.393209200438117,-10.643564356435641,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-16,452.38,91.309998,-1.147214999016677,-9.414687219800989,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-17,453.13,91.25,-0.987654320987652,-9.29423278914976,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-18,456.04,91.900002,-0.8888792297828796,-9.1088902273871,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-19,456.43,91.510002,-0.5339086471408572,-9.144160949720403,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-20,456.16,91.629997,-0.4473931166932066,-8.634962522335599,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-23,455.23,91.610001,-0.400385069793896,-8.63667723057776,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-24,459.77,92.57,0.4171580832568855,-7.863044611694592,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-25,460.13,92.709999,0.31831164017703806,-7.998410479262008,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-26,461.04,92.5,0.4225658897843543,-9.367037220596453,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-27,460.54,91.980003,-0.39578692389211634,-10.324653407429075,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-30,461.9,91.980003,0.28006339419464066,-10.315907962478699,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-08-31,463.56,92.010002,0.35286731755894696,-10.548317027529485,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
1993-09-01,463.15,91.489998,1.0251935870869255,-10.566964499502507,UNDERPERFORM,145.0,130.4,103.0,93.9,122.5,164.0
