,S&P 500,S&P 500 Consumer Discretionary (Sector),S&P 500 Performance (%),S&P 500 Consumer Discretionary (Sector) Performance (%),S&P 500 Consumer Discretionary (Sector) Outperform/Underperform,overall,durables,jewelry and watches,jewelry,watches,sporting goods,"pets, pet products and services"
1993-05-04,444.05,99.760002,-2.967462797456455,-4.945207382902539,-4.945207382902539,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-05,444.52,99.5,-3.7418796015591282,-5.838930743615611,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-06,443.26,99.190002,-3.958572573830521,-5.712923166718332,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-07,442.31,99.129997,-3.868640107800314,-4.755961668793962,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-10,442.8,99.660004,-3.514697230514452,-3.8865830092278397,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-11,444.36,99.93,-3.668054110301755,-4.1346873394989885,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-12,444.8,100.779999,-3.585208306238341,-3.881734933366421,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-13,439.23,99.300003,-4.76366001734605,-6.391401651745809,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-14,439.56,99.260002,-4.596952728219817,-6.552437332400318,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-17,440.37,99.620003,-4.096432771462178,-6.098589163864232,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-18,440.32,99.540001,-4.342725554517612,-6.1474609871291825,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-19,447.57,101.470001,-2.887953480298555,-4.579645649036889,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-20,450.59,102.870003,-2.2835704371964027,-2.879527055882314,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-21,445.84,101.330002,-3.391189408221207,-5.484560260092907,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-24,448.0,102.550003,-4.033588244114561,-5.796433898618092,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-25,448.85,102.449997,-4.398296059637907,-6.642975335210055,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-26,453.44,103.190002,-3.2041840111004305,-6.412116698492342,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-27,452.41,102.980003,-2.9600394671928876,-5.8081028846958205,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-28,450.19,102.419998,-3.407213508700413,-6.320318186768159,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-06-01,453.83,103.290001,-2.4776517105037033,-5.817449727682133,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
