,S&P 500,S&P 500 Materials (Sector),S&P 500 Performance (%),S&P 500 Materials (Sector) Performance (%),S&P 500 Materials (Sector) Outperform/Underperform,overall,transportation,energy,energy commodities,fuels and utilities,transportation services
1993-05-04,444.05,90.040001,-1.1508837540626038,-0.1773791633274624,-0.1773791633274624,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-05,444.52,89.93,-0.27593942793046056,-0.06667185390980546,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-06,443.26,89.5,-0.6210344595654949,-0.30076529912327343,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-07,442.31,89.239998,-1.1177930294426708,-0.44623048244345487,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-10,442.8,88.970001,-0.9794713538172517,-0.9683827234364561,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-11,444.36,89.43,-0.03374502260915513,0.04474885383991545,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-12,444.8,90.349998,-0.5144263028405316,0.6797414905224342,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-13,439.23,90.330002,-2.195551003139673,-0.40793275880703916,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-14,439.56,89.91999799999998,-1.936462609316436,-0.42082501370462877,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-17,440.37,89.650002,-1.5250788255551262,-0.12254901687724917,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-18,440.32,90.010002,-2.2032693674484793,-0.24382244562265454,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-19,447.57,91.150002,-0.12496373820096718,1.3904337844174997,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-20,450.59,91.699997,0.09774519604575094,1.7983958304086167,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-21,445.84,91.239998,-0.7634607251764014,1.1754247061432688,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-24,448.0,91.580002,-0.1203906006153388,1.8800790063419504,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-25,448.85,92.349998,0.16066766340125938,3.473387114845927,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-26,453.44,92.580002,1.0608897209592572,3.5918080924759455,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-27,452.41,93.0,0.3749556265530751,3.632719046862465,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-05-28,450.19,92.169998,0.16464567805094532,2.456646314546984,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-06-01,453.83,92.519997,0.7481241397682359,2.6973039270642207,OUTPERFORM,144.3,129.9,103.9,96.4,121.4,162.6
1993-06-02,453.85,92.540001,1.0891838916607277,3.6630492997552055,OUTPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-03,452.49,92.419998,0.522059803616659,2.4044299168975103,OUTPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-04,450.06,91.989998,-0.5128431849330206,0.7447158196192349,OUTPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-07,447.69,92.07,-1.2005384768168037,0.8986301369863003,OUTPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
1993-06-08,444.71,90.870003,-2.4844311902464833,-1.1207823477522916,OUTPERFORM,144.5,130.1,103.4,95.3,121.7,163.2
