,S&P 500,S&P 500 Information Technology (Sector),S&P 500 Performance (%),S&P 500 Information Technology (Sector) Performance (%),S&P 500 Information Technology (Sector) Outperform/Underperform,overall,communication,information technology commodities,video and audio,video and audio products,video and audio services
1993-05-04,444.05,76.230003,-2.967462797456455,-4.173475643992131,-4.173475643992131,144.3,,,,,
1993-05-05,444.52,76.889999,-3.7418796015591282,-4.7919798218925225,UNDERPERFORM,144.3,,,,,
1993-05-06,443.26,76.41999799999998,-3.958572573830521,-6.256132467718345,UNDERPERFORM,144.3,,,,,
1993-05-07,442.31,77.089996,-3.868640107800314,-4.414142481980354,UNDERPERFORM,144.3,,,,,
1993-05-10,442.8,77.029999,-3.514697230514452,-3.422771980371808,OUTPERFORM,144.3,,,,,
1993-05-11,444.36,76.540001,-3.668054110301755,-4.575486904070392,UNDERPERFORM,144.3,,,,,
1993-05-12,444.8,75.800003,-3.585208306238341,-5.873582588769189,UNDERPERFORM,144.3,,,,,
1993-05-13,439.23,75.059998,-4.76366001734605,-4.939211055461135,UNDERPERFORM,144.3,,,,,
1993-05-14,439.56,75.93,-4.596952728219817,-3.629903494987896,OUTPERFORM,144.3,,,,,
1993-05-17,440.37,76.629997,-4.096432771462178,-2.282582307640424,OUTPERFORM,144.3,,,,,
1993-05-18,440.32,78.400002,-4.342725554517612,-1.2718825703622927,OUTPERFORM,144.3,,,,,
1993-05-19,447.57,80.349998,-2.887953480298555,2.174464676684429,OUTPERFORM,144.3,,,,,
1993-05-20,450.59,80.739998,-2.2835704371964027,1.5086710899085753,OUTPERFORM,144.3,,,,,
1993-05-21,445.84,79.220001,-3.391189408221207,0.6863256227757963,OUTPERFORM,144.3,,,,,
1993-05-24,448.0,80.470001,-4.033588244114561,1.2710823215590583,OUTPERFORM,144.3,,,,,
1993-05-25,448.85,79.900002,-4.398296059637907,-1.33366381821447,OUTPERFORM,144.3,,,,,
1993-05-26,453.44,82.389999,-3.2041840111004305,1.8040269368590156,OUTPERFORM,144.3,,,,,
1993-05-27,452.41,82.040001,-2.9600394671928876,3.9797197977257337,OUTPERFORM,144.3,,,,,
1993-05-28,450.19,80.639999,-3.407213508700413,1.7411013943704035,OUTPERFORM,144.3,,,,,
1993-06-01,453.83,81.91999799999998,-2.4776517105037033,0.7254346311216908,OUTPERFORM,144.3,,,,,
1993-06-02,453.85,82.779999,-2.0333714680423887,1.820413216958916,OUTPERFORM,144.5,,,,,
1993-06-03,452.49,82.949997,-2.522619560534245,2.356855844560002,OUTPERFORM,144.5,,,,,
1993-06-04,450.06,82.699997,-3.0669825543829465,1.559618076875835,OUTPERFORM,144.5,,,,,
1993-06-07,447.69,81.220001,-3.6417640601795087,-1.7063972542562311,OUTPERFORM,144.5,,,,,
1993-06-08,444.71,80.480003,-4.921642828127348,-1.4812081899569618,OUTPERFORM,144.5,,,,,
1993-06-09,445.78,80.230003,-4.713250539725966,-1.9312981770272075,OUTPERFORM,144.5,,,,,
1993-06-10,445.38,79.620003,-5.0564911532722245,-4.153120260021659,OUTPERFORM,144.5,,,,,
1993-06-11,447.26,80.620003,-4.521390146016568,-3.7028164870662184,OUTPERFORM,144.5,,,,,
1993-06-14,447.71,81.279999,-3.3065526327156536,-0.4043646562386316,OUTPERFORM,144.5,,,,,
1993-06-15,446.27,80.709999,-2.4525126232267436,1.7011063293711493,OUTPERFORM,144.5,,,,,
1993-06-16,447.43,79.860001,-2.641599756293922,-1.0531507998160161,OUTPERFORM,144.5,,,,,
1993-06-17,448.54,78.870003,-2.5357988744268867,-2.845524759793061,UNDERPERFORM,144.5,,,,,
1993-06-18,443.68,77.860001,-3.6169704342536857,-4.360647126365458,UNDERPERFORM,144.5,,,,,
1993-06-21,446.22,78.139999,-3.773829034762355,-6.4863560671698295,UNDERPERFORM,144.5,,,,,
1993-06-22,445.93,78.07,-3.6118796472419112,-7.751385126481813,UNDERPERFORM,144.5,,,,,
1993-06-23,443.19,77.440002,-4.770192741571588,-8.344178206750573,UNDERPERFORM,144.5,,,,,
1993-06-24,446.62,77.949997,-3.693800539083558,-6.242485040203105,UNDERPERFORM,144.5,,,,,
1993-06-25,447.6,79.379997,-4.100784162488747,-6.159119572484661,UNDERPERFORM,144.5,,,,,
1993-06-28,451.85,79.980003,-2.7882360534411843,-3.2655986937590864,UNDERPERFORM,144.5,,,,,
1993-06-29,450.69,78.82,-2.788921961951596,-3.924915846844046,UNDERPERFORM,144.5,,,,,
1993-06-30,450.53,78.58000200000002,-2.6091655858192953,-3.4406427908813764,UNDERPERFORM,144.5,,,,,
1993-07-01,449.02,77.849998,-2.2019907215821255,-3.207760785776459,UNDERPERFORM,144.5,,,,,
1993-07-02,445.84,77.620003,-3.294796434071534,-5.260584645429034,UNDERPERFORM,144.8,,,,,
1993-07-06,441.43,75.470001,-4.526775672636041,-9.290860911930077,UNDERPERFORM,144.8,,,,,
1993-07-07,442.83,75.260002,-4.3687643070012605,-10.201642052300242,UNDERPERFORM,144.8,,,,,
1993-07-08,448.64,76.230003,-2.870751244858194,-7.1724303273588585,UNDERPERFORM,144.8,,,,,
1993-07-09,448.11,76.870003,-2.9623854999025534,-7.184251388553486,UNDERPERFORM,144.8,,,,,
1993-07-12,448.98,77.809998,-2.7950377795578962,-6.556982342631779,UNDERPERFORM,144.8,,,,,
