,S&P 500,S&P 500 Real Estate (Sector),S&P 500 Performance (%),S&P 500 Real Estate (Sector) Performance (%),S&P 500 Real Estate (Sector) Outperform/Underperform,overall,commodities,housing,shelters,transportations
2002-02-11,1111.94,92.480003,1.7198163089814589,-1.648405845457901,-1.648405845457901,178.5,149.0,179.0,206.3,207.3
2002-02-12,1107.5,91.610001,1.4677318869791511,-2.4075870115823905,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-13,1118.51,91.989998,3.9198379664040495,-1.9505457258580217,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-14,1116.48,92.470001,4.789525552583407,-0.9532990472011726,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-15,1104.18,93.330002,2.531292946551278,-0.8498831674243146,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-19,1083.34,91.68,-0.2871711797949428,-3.8187159043222674,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-20,1097.98,92.900002,1.2373681492955813,-3.6706759918980536,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-21,1080.95,91.989998,0.7005580242773091,-4.1471323940071585,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-22,1089.84,93.459999,3.531021117729183,-1.7038314744671545,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-25,1109.43,93.860001,5.711345510676624,-1.2103999324197479,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-26,1109.38,93.480003,1.8854755016761038,-1.7654486437390315,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-27,1109.89,93.650002,3.437060232430267,-0.3723382978723433,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-02-28,1106.73,93.309998,4.904311889212232,-0.7234812368013932,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-03-01,1131.78,94.139999,5.324970220369263,-0.29654628884868695,UNDERPERFORM,178.5,149.0,179.0,206.3,207.3
2002-03-04,1153.84,95.25,5.154564012831719,-0.48061749535698306,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
2002-03-05,1146.14,96.57,5.047338850852845,0.3116266846876492,UNDERPERFORM,179.3,150.0,179.5,207.0,208.0
