,S&P 500,S&P 500 Real Estate (Sector),S&P 500 Performance (%),S&P 500 Communication Services (Sector) Performance (%),S&P 500 Communication Services (Sector) Outperform/Underperform,overall,communication,information technology commodities,education and communication commodities,education and communication services
1993-05-04,444.05,105.379997,-6.025141792939981,-2.2086163287190708,-2.2086163287190708,144.3,,,,
1993-05-05,444.52,105.190002,-5.979398887455323,-2.0486051033485886,OUTPERFORM,144.3,,,,
1993-05-06,443.26,105.059998,-5.7575371008206755,-0.8774412846012214,OUTPERFORM,144.3,,,,
1993-05-07,442.31,104.510002,-5.426671513181802,-0.882018192677958,OUTPERFORM,144.3,,,,
1993-05-10,442.8,104.839996,-6.078988673482366,-1.1223267105755608,OUTPERFORM,144.3,,,,
1993-05-11,444.36,105.120003,-5.593915315812947,0.1619876177795465,OUTPERFORM,144.3,,,,
1993-05-12,444.8,104.779999,-4.191616766467066,-0.3234436741787361,OUTPERFORM,144.3,,,,
1993-05-13,439.23,102.559998,-5.758791597828649,-3.400207278896261,OUTPERFORM,144.3,,,,
1993-05-14,439.56,103.470001,-5.904011645331164,-2.4879841439262695,OUTPERFORM,144.3,,,,
1993-05-17,440.37,103.32,-5.1825854792868835,-2.084910028949305,OUTPERFORM,144.3,,,,
1993-05-18,440.32,104.260002,-5.268819517652378,-1.2502367635870981,OUTPERFORM,144.3,,,,
1993-05-19,447.57,107.059998,-3.334701194358658,2.2150086350011033,OUTPERFORM,144.3,,,,
1993-05-20,450.59,107.57,-3.0447131729569255,2.7804279464770376,OUTPERFORM,144.3,,,,
1993-05-21,445.84,106.139999,-4.512646976933466,1.1338752110683803,OUTPERFORM,144.3,,,,
1993-05-24,448.0,107.029999,-3.8378981712028803,2.4406546006703334,OUTPERFORM,144.3,,,,
1993-05-25,448.85,107.93,-3.8988566779428746,3.3416295798232465,OUTPERFORM,144.3,,,,
1993-05-26,453.44,108.870003,-2.254796292304373,4.934942650602414,OUTPERFORM,144.3,,,,
1993-05-27,452.41,108.470001,-3.0078895463510835,4.247955668007042,OUTPERFORM,144.3,,,,
1993-05-28,450.19,108.379997,-3.680010269796097,4.341960017080204,OUTPERFORM,144.3,,,,
