,S&P 500,S&P 500 Industrials (Sector),S&P 500 Performance (%),S&P 500 Industrials (Sector) Performance (%),S&P 500 Industrials (Sector) Outperform/Underperform,overall,energy,commodities,communication,transportation,services,durable
1993-05-04,444.05,94.949997,-1.1508837540626038,-2.844577831436268,-2.844577831436268,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-05,444.52,95.599998,-0.27593942793046056,-2.2994379621755323,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-06,443.26,96.019997,-0.6210344595654949,-1.7899151618057219,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-07,442.31,95.919998,-1.1177930294426708,-1.7615741679800623,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-10,442.8,95.910004,-0.9794713538172517,-1.9024169551728698,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-11,444.36,95.940002,-0.03374502260915513,-1.407867668438334,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-12,444.8,96.419998,-0.5144263028405316,-1.4513471566372393,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-13,439.23,95.760002,-2.195551003139673,-2.5740146243360074,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-14,439.56,95.82,-1.936462609316436,-2.084611668867653,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-17,440.37,95.580002,-1.5250788255551262,-2.109788018330494,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-18,440.32,95.059998,-2.2032693674484793,-3.4433713593714055,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-19,447.57,96.199997,-0.12496373820096718,-1.926800975708065,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-20,450.59,96.599998,0.09774519604575094,-1.9687466818678057,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-21,445.84,95.989998,-0.7634607251764014,-2.5877846297160056,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-24,448.0,96.480003,-0.1203906006153388,-1.791525891521295,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-25,448.85,96.599998,0.16066766340125938,-2.0085250150431055,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-26,453.44,97.309998,1.0608897209592572,-1.4981303624037934,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-27,452.41,97.610001,0.3749556265530751,-1.8008057987765502,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-05-28,450.19,96.779999,0.16464567805094532,-2.8020498142010575,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-06-01,453.83,97.910004,0.7481241397682359,-1.8150792036193408,UNDERPERFORM,144.3,103.9,131.3,,129.9,157.8,121.0
1993-06-02,453.85,98.279999,1.0891838916607277,-0.9274173667565666,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-03,452.49,97.959999,0.522059803616659,-1.379243906589267,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-04,450.06,97.699997,-0.5128431849330206,-1.5914605317431607,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-07,447.69,97.660004,-1.2005384768168037,-1.7406127552129336,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-08,444.71,96.730003,-2.4844311902464833,-3.153778628968129,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-09,445.78,96.860001,-2.333326030278471,-3.188407700497531,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-10,445.38,96.050003,-2.36320589266924,-4.0363604370610595,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-11,447.26,96.650002,-1.7507633503943132,-2.922856627618642,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-14,447.71,96.279999,-2.62305065576266,-4.294233683781979,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-15,446.27,96.489998,-3.0121922065503237,-4.522066188839613,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-16,447.43,96.839996,-2.952021516571235,-3.9762043426118887,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-17,448.54,96.690002,-2.6056368610761327,-3.94397162948652,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-18,443.68,96.260002,-3.9445767482138905,-4.626967204993571,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-21,446.22,97.089996,-3.7406161014755357,-4.250498929970437,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-22,445.93,96.650002,-3.7180179207600084,-4.335343010346859,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-23,443.19,96.610001,-3.9258616952091985,-3.698164872408294,OUTPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-24,446.62,96.989998,-3.1907053366280747,-3.106893168968894,OUTPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-25,447.6,96.690002,-2.3815755037948083,-2.902189136328781,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-28,451.85,97.550003,-1.0511332530384276,-1.4347761803094161,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-29,450.69,97.400002,-1.488524590163931,-1.735271335695976,UNDERPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
1993-06-30,450.53,97.379997,-2.4235467382829556,-2.4150756346820734,OUTPERFORM,144.5,103.4,131.3,,130.1,158.1,121.2
