,S&P 500,S&P 500 Consumer Staples (Sector),S&P 500 Performance (%),S&P 500 Consumer Staples (Sector) Performance (%),S&P 500 Consumer Staples (Sector) Outperform/Underperform,overall,food and beverages,food,nondurables,household furnishings and operations,household furnishings and supplies,tobacco and smoking products,domestically produced farm food,footwear,infants' and toddlers' apparel,men's apparel,women's apparel
1993-05-04,444.05,88.18,-2.967462797456455,0.811705718398259,0.811705718398259,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-05,444.52,88.82,-3.7418796015591282,0.9088877837612142,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-06,443.26,88.400002,-3.958572573830521,0.9939483719175968,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-07,442.31,89.019997,-3.868640107800314,2.4277907063495308,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-10,442.8,89.510002,-3.514697230514452,3.1577792955322925,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-11,444.36,89.940002,-3.668054110301755,3.59364432158491,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-12,444.8,89.32,-3.585208306238341,2.678471150212003,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-13,439.23,88.309998,-4.76366001734605,0.8911219112432311,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-14,439.56,88.639999,-4.596952728219817,1.210318538243449,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-17,440.37,88.989998,-4.096432771462178,1.5867580270949366,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-18,440.32,88.510002,-4.342725554517612,0.602408481390948,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-19,447.57,90.279999,-2.887953480298555,1.73540797240046,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-20,450.59,90.849998,-2.2835704371964027,2.1704903772040263,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-21,445.84,90.080002,-3.391189408221207,0.5357187619579928,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-24,448.0,89.68,-4.033588244114561,-2.648722232455847,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-25,448.85,90.0,-4.398296059637907,-4.122725978819874,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-26,453.44,90.470001,-3.2041840111004305,-2.918769118601383,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-27,452.41,89.809998,-2.9600394671928876,-2.6660876557739632,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-05-28,450.19,89.480003,-3.407213508700413,-2.9711537305231683,OUTPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-06-01,453.83,89.82,-2.4776517105037033,-2.4861589134061557,UNDERPERFORM,144.3,141.4,140.6,135.0,119.1,,235.4,141.5,125.6,128.1,129.2,131.4
1993-06-02,453.85,89.410004,-2.0333714680423887,-2.0486360872988163,UNDERPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-03,452.49,88.660004,-2.522619560534245,-3.103820765027321,UNDERPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
1993-06-04,450.06,88.07,-3.0669825543829465,-3.84321012526303,UNDERPERFORM,144.5,141.4,140.6,134.8,118.7,,235.7,141.6,125.4,126.7,129.6,131.1
