,S&P 500,S&P 500 Consumer Discretionary (Sector),S&P 500 Performance (%),S&P 500 Consumer Discretionary (Sector) Performance (%),S&P 500 Consumer Discretionary (Sector) Outperform/Underperform,overall,durables,jewelry and watches,jewelry,watches,sporting goods,"pets, pet products and services"
1993-05-04,444.05,99.760002,-1.1508837540626038,-1.1690112706754352,-1.1690112706754352,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-05,444.52,99.5,-0.27593942793046056,-0.7481296758104716,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-06,443.26,99.190002,-0.6210344595654949,-0.3215757145698661,OUTPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-07,442.31,99.129997,-1.1177930294426708,-1.2354348539772353,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-10,442.8,99.660004,-0.9794713538172517,-0.4892640940736048,OUTPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-11,444.36,99.93,-0.03374502260915513,0.6243097497595551,OUTPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-12,444.8,100.779999,-0.5144263028405316,0.6290534073079668,OUTPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-13,439.23,99.300003,-2.195551003139673,-1.5564587620761627,OUTPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-14,439.56,99.260002,-1.936462609316436,-0.9084516503634177,OUTPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-17,440.37,99.620003,-1.5250788255551262,-0.7867751902489784,OUTPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-18,440.32,99.540001,-2.2032693674484793,-2.220041191943778,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-19,447.57,101.470001,-0.12496373820096718,0.059162802123546854,OUTPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-20,450.59,102.870003,0.09774519604575094,0.6260393047234913,OUTPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-21,445.84,101.330002,-0.7634607251764014,-0.6763330918349353,OUTPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-24,448.0,102.550003,-0.1203906006153388,0.38175311739416795,OUTPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-25,448.85,102.449997,0.16066766340125938,0.3428002026013788,OUTPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-26,453.44,103.190002,1.0608897209592572,0.8897174510140493,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-27,452.41,102.980003,0.3749556265530751,-0.01941456310680101,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-05-28,450.19,102.419998,0.16464567805094532,0.14667155998842052,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-06-01,453.83,103.290001,0.7481241397682359,0.4180439391596069,UNDERPERFORM,144.3,121.0,146.2,154.3,117.7,119.9,
1993-06-02,453.85,103.559998,1.0891838916607277,1.00458305866169,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-03,452.49,103.199997,0.522059803616659,0.5064248149590833,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-04,450.06,102.669998,-0.5128431849330206,-0.6675725554607825,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-07,447.69,101.699997,-1.2005384768168037,-1.098905939922079,OUTPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-08,444.71,100.489998,-2.4844311902464833,-2.046981267062331,OUTPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-09,445.78,100.660004,-2.333326030278471,-2.2148804698877034,OUTPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-10,445.38,100.440002,-2.36320589266924,-2.4759647048444355,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-11,447.26,101.059998,-1.7507633503943132,-1.8358417242110292,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-14,447.71,100.800003,-2.62305065576266,-3.1234982280586743,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-15,446.27,100.059998,-3.0121922065503237,-3.853177668876717,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-16,447.43,99.889999,-2.952021516571235,-4.090257242625883,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-17,448.54,100.029999,-2.6056368610761327,-4.18582654816424,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
1993-06-18,443.68,98.910004,-3.9445767482138905,-5.421684730891474,UNDERPERFORM,144.5,121.2,144.6,151.2,121.2,120.2,
