,S&P 500,S&P 500 Real Estate (Sector),S&P 500 Performance (%),S&P 500 Communication Services (Sector) Performance (%),S&P 500 Communication Services (Sector) Outperform/Underperform,overall,communication,information technology commodities,education and communication commodities,education and communication services
1993-05-04,444.05,105.379997,-2.967462797456455,-9.59162765256738,-9.59162765256738,144.3,,,,
1993-05-05,444.52,105.190002,-3.7418796015591282,-11.051919312499248,UNDERPERFORM,144.3,,,,
1993-05-06,443.26,105.059998,-3.958572573830521,-11.55076706138044,UNDERPERFORM,144.3,,,,
1993-05-07,442.31,104.510002,-3.868640107800314,-11.326997188808773,UNDERPERFORM,144.3,,,,
1993-05-10,442.8,104.839996,-3.514697230514452,-10.903375727090614,UNDERPERFORM,144.3,,,,
1993-05-11,444.36,105.120003,-3.668054110301755,-10.900152291062415,UNDERPERFORM,144.3,,,,
1993-05-12,444.8,104.779999,-3.585208306238341,-10.681100685041345,UNDERPERFORM,144.3,,,,
1993-05-13,439.23,102.559998,-4.76366001734605,-12.109009990418896,UNDERPERFORM,144.3,,,,
1993-05-14,439.56,103.470001,-4.596952728219817,-11.374731477516065,UNDERPERFORM,144.3,,,,
1993-05-17,440.37,103.32,-4.096432771462178,-10.568682684745811,UNDERPERFORM,144.3,,,,
1993-05-18,440.32,104.260002,-4.342725554517612,-9.94990248704356,UNDERPERFORM,144.3,,,,
1993-05-19,447.57,107.059998,-2.887953480298555,-6.342402350492559,UNDERPERFORM,144.3,,,,
1993-05-20,450.59,107.57,-2.2835704371964027,-6.1998604813393925,UNDERPERFORM,144.3,,,,
1993-05-21,445.84,106.139999,-3.391189408221207,-7.648134516662319,UNDERPERFORM,144.3,,,,
1993-05-24,448.0,107.029999,-4.033588244114561,-11.082498685324449,UNDERPERFORM,144.3,,,,
1993-05-25,448.85,107.93,-4.398296059637907,-10.319898800496862,UNDERPERFORM,144.3,,,,
1993-05-26,453.44,108.870003,-3.2041840111004305,-7.99459041672288,UNDERPERFORM,144.3,,,,
1993-05-27,452.41,108.470001,-2.9600394671928876,-8.887023715572695,UNDERPERFORM,144.3,,,,
1993-05-28,450.19,108.379997,-3.407213508700413,-9.031393394589504,UNDERPERFORM,144.3,,,,
1993-06-01,453.83,109.370003,-2.4776517105037033,-7.0536204139308385,UNDERPERFORM,144.3,,,,
1993-06-02,453.85,109.599998,-2.0333714680423887,-5.671747901338364,UNDERPERFORM,144.5,,,,
1993-06-03,452.49,109.660004,-2.522619560534245,-5.951967512040612,UNDERPERFORM,144.5,,,,
1993-06-04,450.06,109.790001,-3.0669825543829465,-6.009756973028956,UNDERPERFORM,144.5,,,,
1993-06-07,447.69,110.080002,-3.6417640601795087,-6.091109826897201,UNDERPERFORM,144.5,,,,
1993-06-08,444.71,109.68,-4.921642828127348,-6.639430371822508,UNDERPERFORM,144.5,,,,
1993-06-09,445.78,110.080002,-4.713250539725966,-6.593123573918103,UNDERPERFORM,144.5,,,,
1993-06-10,445.38,109.959999,-5.0564911532722245,-6.766154709748107,UNDERPERFORM,144.5,,,,
1993-06-11,447.26,110.699997,-4.521390146016568,-6.432255201289072,UNDERPERFORM,144.5,,,,
1993-06-14,447.71,111.269997,-3.3065526327156536,-4.242685135353308,UNDERPERFORM,144.5,,,,
1993-06-15,446.27,111.269997,-2.4525126232267436,-2.753016129225949,UNDERPERFORM,144.5,,,,
1993-06-16,447.43,110.980003,-2.641599756293922,-3.2516746861797063,UNDERPERFORM,144.5,,,,
1993-06-17,448.54,111.290001,-2.5357988744268867,-2.2485700878097425,OUTPERFORM,144.5,,,,
1993-06-18,443.68,110.129997,-3.6169704342536857,-2.763557252983273,OUTPERFORM,144.5,,,,
1993-06-21,446.22,111.260002,-3.773829034762355,-1.574662937237592,OUTPERFORM,144.5,,,,
1993-06-22,445.93,111.910004,-3.6118796472419112,-1.4529711421798264,OUTPERFORM,144.5,,,,
1993-06-23,443.19,111.68,-4.770192741571588,-1.4211324792909097,OUTPERFORM,144.5,,,,
1993-06-24,446.62,112.220001,-3.693800539083558,-0.40823482428116176,OUTPERFORM,144.5,,,,
1993-06-25,447.6,111.910004,-4.100784162488747,-1.1919459439882374,OUTPERFORM,144.5,,,,
1993-06-28,451.85,113.050003,-2.7882360534411843,0.7306424111919618,OUTPERFORM,144.5,,,,
1993-06-29,450.69,113.309998,-2.788921961951596,1.5322580919759465,OUTPERFORM,144.5,,,,
1993-06-30,450.53,113.790001,-2.6091655858192953,2.522752545684348,OUTPERFORM,144.5,,,,
1993-07-01,449.02,113.82,-2.2019907215821255,3.8408894823383832,OUTPERFORM,144.5,,,,
1993-07-02,445.84,112.870003,-3.294796434071534,2.441462152840801,OUTPERFORM,144.8,,,,
1993-07-06,441.43,112.089996,-4.526775672636041,1.1551286193507648,OUTPERFORM,144.8,,,,
1993-07-07,442.83,112.089996,-4.3687643070012605,0.21457130468611751,OUTPERFORM,144.8,,,,
1993-07-08,448.64,113.410004,-2.870751244858194,1.5763564428776355,OUTPERFORM,144.8,,,,
1993-07-09,448.11,113.129997,-2.9623854999025534,1.7813719877395995,OUTPERFORM,144.8,,,,
1993-07-12,448.98,113.839996,-2.7950377795578962,3.1346250172483714,OUTPERFORM,144.8,,,,
1993-07-13,448.09,112.870003,-3.2432899311178875,1.5200602626371573,OUTPERFORM,144.8,,,,
1993-07-14,450.08,113.639999,-3.1856998429736105,1.6548868265955141,OUTPERFORM,144.8,,,,
1993-07-15,449.22,114.610001,-3.6897283622408517,1.8122066269876447,OUTPERFORM,144.8,,,,
1993-07-16,445.75,114.080002,-4.501242608621137,1.57599860343689,OUTPERFORM,144.8,,,,
1993-07-19,446.03,115.040001,-4.34493555512665,3.2211790907450633,OUTPERFORM,144.8,,,,
1993-07-20,447.31,115.470001,-3.6343659787151594,4.271268814724016,OUTPERFORM,144.8,,,,
1993-07-21,447.18,115.400002,-3.6104584743387957,4.170430620783816,OUTPERFORM,144.8,,,,
1993-07-22,444.51,114.669998,-4.550139574833578,2.972339233366217,OUTPERFORM,144.8,,,,
1993-07-23,447.1,114.699997,-3.4466375847622244,3.221736774071182,OUTPERFORM,144.8,,,,
1993-07-26,449.09,115.739998,-2.7606963450545696,4.364288469534916,OUTPERFORM,144.8,,,,
1993-07-27,448.24,115.25,-3.2589459144472643,3.894347786892638,OUTPERFORM,144.8,,,,
1993-07-28,447.19,115.260002,-4.114670440413393,3.3629270314244897,OUTPERFORM,144.8,,,,
1993-07-29,450.24,116.019997,-3.3508640120210376,4.212696412239358,OUTPERFORM,144.8,,,,
1993-07-30,448.13,115.269997,-3.6900924134966706,3.5762386236298127,OUTPERFORM,144.8,,,,
1993-08-02,450.15,115.599998,-3.674141915603868,3.835440513151167,OUTPERFORM,145.0,,,,
1993-08-03,449.27,114.559998,-3.8747913903034004,3.0308444458882144,OUTPERFORM,145.0,,,,
1993-08-04,448.54,114.029999,-4.675479236621749,2.3976274928374064,OUTPERFORM,145.0,,,,
1993-08-05,448.13,114.510002,-4.843504480400895,2.773293892897022,OUTPERFORM,145.0,,,,
1993-08-06,448.68,113.690002,-4.653831442050227,2.515779936595508,OUTPERFORM,145.0,,,,
1993-08-09,450.72,114.699997,-3.8238306589279514,4.386603687293511,OUTPERFORM,145.0,,,,
1993-08-10,449.45,114.980003,-3.6445492550112535,5.312331013006033,OUTPERFORM,145.0,,,,
1993-08-11,450.46,115.260002,-3.218459951873498,6.240210272655733,OUTPERFORM,145.0,,,,
1993-08-12,448.96,114.699997,-3.8403049968943503,7.568226790815724,OUTPERFORM,145.0,,,,
1993-08-13,450.14,115.110001,-3.7236659180836296,8.768779008432803,OUTPERFORM,145.0,,,,
1993-08-16,452.38,114.849998,-3.15550607980819,7.497194215544534,OUTPERFORM,145.0,,,,
1993-08-17,453.13,114.099998,-3.5688444349861626,5.804898212347864,OUTPERFORM,145.0,,,,
1993-08-18,456.04,113.279999,-4.046121152187165,4.069821847860755,OUTPERFORM,145.0,,,,
1993-08-19,456.43,111.940002,-3.7331533545651996,3.0470450993384413,OUTPERFORM,145.0,,,,
1993-08-20,456.16,112.419998,-3.7982158297656943,3.622453749146537,OUTPERFORM,145.0,,,,
1993-08-23,455.23,111.550003,-3.6489089254344242,3.2296918976437716,OUTPERFORM,145.0,,,,
1993-08-24,459.77,113.599998,-3.187972457939403,4.855087866165331,OUTPERFORM,145.0,,,,
1993-08-25,460.13,115.18,-2.782590323262202,7.4841318594949025,OUTPERFORM,145.0,,,,
1993-08-26,461.04,116.43,-2.7854507116499727,7.825520249337292,OUTPERFORM,145.0,,,,
1993-08-27,460.54,117.360001,-2.9011174362218006,7.002189095550682,OUTPERFORM,145.0,,,,
1993-08-30,461.9,118.889999,-2.7538001600067474,7.602499006290153,OUTPERFORM,145.0,,,,
1993-08-31,463.56,119.779999,-2.3508594539939365,8.871116402593614,OUTPERFORM,145.0,,,,
1993-09-01,463.15,120.160004,-1.8687628450960947,10.502120847933071,OUTPERFORM,145.0,,,,
1993-09-02,461.3,119.790001,-2.042809819077551,10.25310519552498,OUTPERFORM,145.6,,,,
1993-09-03,461.34,119.830002,-2.5063398140321214,8.679484696544804,OUTPERFORM,145.6,,,,
1993-09-07,458.52,119.32,-3.8842888586102187,6.526201115503949,OUTPERFORM,145.6,,,,
1993-09-08,456.65,119.0,-4.606225193231673,6.155220448799659,OUTPERFORM,145.6,,,,
1993-09-09,457.5,118.300003,-5.006125288096175,4.866594359836807,OUTPERFORM,145.6,,,,
1993-09-10,461.72,119.599998,-3.732121262666277,7.87408204543838,OUTPERFORM,145.6,,,,
1993-09-13,462.06,120.160004,-4.136929460580907,8.018703847873132,OUTPERFORM,145.6,,,,
1993-09-14,459.9,119.349998,-4.3290133344427995,8.165671856649336,OUTPERFORM,145.6,,,,
1993-09-15,461.6,119.949997,-1.7475149528532796,11.013413854324462,OUTPERFORM,145.6,,,,
