,S&P 500,S&P 500 Health Care (Sector),S&P 500 Performance (%),S&P 500 Health Care (Sector) Performance (%),S&P 500 Health Care (Sector) Outperform/Underperform,overall,medical Care,medical care commodities,medical care services,personal Care
1993-05-04,444.05,90.959999,-1.1508837540626038,7.276799065021811,7.276799065021811,144.3,201.3,194.7,202.9,
1993-05-05,444.52,91.760002,-0.27593942793046056,10.116404413382796,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-06,443.26,90.550003,-0.6210344595654949,8.729591843534967,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-07,442.31,90.120003,-1.1177930294426708,6.461902977864065,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-10,442.8,90.230003,-0.9794713538172517,7.531877843790835,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-11,444.36,90.489998,-0.03374502260915513,9.024093975903625,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-12,444.8,89.620003,-0.5144263028405316,6.424419978914853,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-13,439.23,88.040001,-2.195551003139673,4.934444459250442,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-14,439.56,89.400002,-1.936462609316436,6.5046460208566526,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-17,440.37,90.809998,-1.5250788255551262,10.086071283454267,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-18,440.32,90.389999,-2.2032693674484793,10.663563907933394,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-19,447.57,91.540001,-0.12496373820096718,13.362230340557279,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-20,450.59,92.330002,0.09774519604575094,14.34055975232198,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-21,445.84,91.330002,-0.7634607251764014,12.767013526781401,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-24,448.0,91.519997,-0.1203906006153388,13.169276128257357,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-25,448.85,90.910004,0.16066766340125938,13.751259102884394,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-26,453.44,92.050003,1.0608897209592572,14.904508614348932,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-27,452.41,90.400002,0.3749556265530751,14.285719703810873,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-05-28,450.19,90.870003,0.16464567805094532,16.20205433000208,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-06-01,453.83,91.279999,0.7481241397682359,18.024313060476494,OUTPERFORM,144.3,201.3,194.7,202.9,
1993-06-02,453.85,90.360001,1.0891838916607277,17.51853579813416,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-03,452.49,89.589996,0.522059803616659,16.21481469528161,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-04,450.06,88.18,-0.5128431849330206,11.676799793272563,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-07,447.69,88.029999,-1.2005384768168037,8.826801938766259,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-08,444.71,87.510002,-2.4844311902464833,4.539485181453662,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-09,445.78,87.93,-2.333326030278471,4.2318622068295175,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-10,445.38,89.379997,-2.36320589266924,6.265599735280003,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-11,447.26,90.669998,-1.7507633503943132,8.925997331234935,OUTPERFORM,144.5,202.2,195.5,203.8,
1993-06-14,447.71,91.089996,-2.62305065576266,9.509492666506357,OUTPERFORM,144.5,202.2,195.5,203.8,
