,S&P 500,S&P 500 Financials (Sector),S&P 500 Performance (%),S&P 500 Financials (Sector) Performance (%),S&P 500 Financials (Sector) Outperform/Underperform,overall,purchasing power of the consumer dollar,commodities,other services,housing,shelter,services,other personal services
1993-05-04,444.05,106.129997,-6.025141792939981,-1.2836061522908282,-1.2836061522908282,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-05,444.52,105.0,-5.979398887455323,-2.3255813953488413,OUTPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-06,443.26,104.629997,-5.7575371008206755,-2.004308382625508,OUTPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-07,442.31,103.550003,-5.426671513181802,-2.3849914708711895,OUTPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-10,442.8,103.940002,-6.078988673482366,-3.1223776389003866,OUTPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-11,444.36,105.339996,-5.593915315812947,-1.6341395698623473,OUTPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-12,444.8,105.010002,-4.191616766467066,-0.15213083868272914,OUTPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-13,439.23,102.690002,-5.758791597828649,-3.1500490724327923,OUTPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-14,439.56,101.300003,-5.904011645331164,-4.451984657196317,OUTPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-17,440.37,100.800003,-5.1825854792868835,-3.890154573517002,OUTPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-18,440.32,100.970001,-5.268819517652378,-3.118403347549381,OUTPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-19,447.57,103.220001,-3.334701194358658,-0.14511173033437963,OUTPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-20,450.59,103.790001,-3.0447131729569255,0.19307366321359432,OUTPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-21,445.84,102.199997,-4.512646976933466,-1.198767378214094,OUTPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-24,448.0,102.360001,-3.8378981712028803,-0.9291511807975161,OUTPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-25,448.85,102.779999,-3.8988566779428746,-0.7627701071738824,OUTPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-26,453.44,105.349998,-2.254796292304373,2.361057177634218,OUTPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-27,452.41,104.879997,-3.0078895463510835,0.48864039986662444,OUTPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-05-28,450.19,104.050003,-3.680010269796097,-0.8953186188269013,OUTPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-06-01,453.83,104.870003,-2.8222093745315924,-0.8133925807228048,OUTPERFORM,144.3,,131.3,176.6,141.2,155.8,157.8,
1993-06-02,453.85,104.739998,-3.3168591027225025,-2.27654599738758,OUTPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-03,452.49,104.339996,-3.9095349331068063,-2.2942269660621184,OUTPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-04,450.06,103.040001,-4.458030824098847,-3.2124723202373806,OUTPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
1993-06-07,447.69,100.489998,-4.4499935971315185,-5.036856926856926,UNDERPERFORM,144.5,,131.3,177.1,141.3,155.9,158.1,
