,S&P 500,S&P 500 Information Technology (Sector),S&P 500 Performance (%),S&P 500 Information Technology (Sector) Performance (%),S&P 500 Information Technology (Sector) Outperform/Underperform,overall,communication,information technology commodities,video and audio,video and audio products,video and audio services
1993-05-04,444.05,76.230003,-6.025141792939981,-14.174732042332804,-14.174732042332804,144.3,,,,,
1993-05-05,444.52,76.889999,-5.979398887455323,-14.595135117129121,UNDERPERFORM,144.3,,,,,
1993-05-06,443.26,76.41999799999998,-5.7575371008206755,-14.461605751582995,UNDERPERFORM,144.3,,,,,
1993-05-07,442.31,77.089996,-5.426671513181802,-13.856299337496914,UNDERPERFORM,144.3,,,,,
1993-05-10,442.8,77.029999,-6.078988673482366,-15.602058144036091,UNDERPERFORM,144.3,,,,,
1993-05-11,444.36,76.540001,-5.593915315812947,-15.899352468973682,UNDERPERFORM,144.3,,,,,
1993-05-12,444.8,75.800003,-4.191616766467066,-15.805838229543912,UNDERPERFORM,144.3,,,,,
1993-05-13,439.23,75.059998,-5.758791597828649,-16.90468688354507,UNDERPERFORM,144.3,,,,,
1993-05-14,439.56,75.93,-5.904011645331164,-16.099447513812148,UNDERPERFORM,144.3,,,,,
1993-05-17,440.37,76.629997,-5.1825854792868835,-15.176001336108092,UNDERPERFORM,144.3,,,,,
1993-05-18,440.32,78.400002,-5.268819517652378,-13.446676673732016,UNDERPERFORM,144.3,,,,,
1993-05-19,447.57,80.349998,-3.334701194358658,-11.771167233995817,UNDERPERFORM,144.3,,,,,
1993-05-20,450.59,80.739998,-3.0447131729569255,-12.067089958614673,UNDERPERFORM,144.3,,,,,
1993-05-21,445.84,79.220001,-4.512646976933466,-14.29189548847778,UNDERPERFORM,144.3,,,,,
1993-05-24,448.0,80.470001,-3.8378981712028803,-13.258592646068546,UNDERPERFORM,144.3,,,,,
1993-05-25,448.85,79.900002,-3.8988566779428746,-14.636748175998893,UNDERPERFORM,144.3,,,,,
1993-05-26,453.44,82.389999,-2.254796292304373,-11.806892781136646,UNDERPERFORM,144.3,,,,,
1993-05-27,452.41,82.040001,-3.0078895463510835,-11.964803906753863,UNDERPERFORM,144.3,,,,,
1993-05-28,450.19,80.639999,-3.680010269796097,-14.810906832414672,UNDERPERFORM,144.3,,,,,
1993-06-01,453.83,81.91999799999998,-2.8222093745315924,-13.595612563982984,UNDERPERFORM,144.3,,,,,
1993-06-02,453.85,82.779999,-3.3168591027225025,-13.292135610221678,UNDERPERFORM,144.5,,,,,
1993-06-03,452.49,82.949997,-3.9095349331068063,-13.331942465070966,UNDERPERFORM,144.5,,,,,
1993-06-04,450.06,82.699997,-4.458030824098847,-13.212303355941835,UNDERPERFORM,144.5,,,,,
1993-06-07,447.69,81.220001,-4.4499935971315185,-14.76545267325583,UNDERPERFORM,144.5,,,,,
1993-06-08,444.71,80.480003,-5.138651877133116,-14.591955388136835,UNDERPERFORM,144.5,,,,,
1993-06-09,445.78,80.230003,-4.857642890681701,-14.448705634983005,UNDERPERFORM,144.5,,,,,
1993-06-10,445.38,79.620003,-4.085280499623134,-13.27741560347273,UNDERPERFORM,144.5,,,,,
1993-06-11,447.26,80.620003,-2.8920057319032466,-9.951967049614296,UNDERPERFORM,144.5,,,,,
1993-06-14,447.71,81.279999,-2.6717391304347915,-8.396262535909072,UNDERPERFORM,144.5,,,,,
1993-06-15,446.27,80.709999,-1.3724363507779391,-6.412336651492046,UNDERPERFORM,144.5,,,,,
1993-06-16,447.43,79.860001,0.42195039838401893,-7.0963216274583685,UNDERPERFORM,144.5,,,,,
1993-06-17,448.54,78.870003,0.6213966843888086,-9.821628285177542,UNDERPERFORM,144.5,,,,,
1993-06-18,443.68,77.860001,1.0844800874874716,-9.243501465864313,UNDERPERFORM,144.5,,,,,
1993-06-21,446.22,78.139999,-0.4617546677374018,-11.536287523235899,UNDERPERFORM,144.5,,,,,
1993-06-22,445.93,78.07,-0.47316147751367277,-12.103129925692413,UNDERPERFORM,144.5,,,,,
1993-06-23,443.19,77.440002,-1.705553584102204,-13.648525869759142,UNDERPERFORM,144.5,,,,,
1993-06-24,446.62,77.949997,-0.10735853276672147,-11.811293266334355,UNDERPERFORM,144.5,,,,,
1993-06-25,447.6,79.379997,-0.504590214950984,-10.37597719318053,UNDERPERFORM,144.5,,,,,
1993-06-28,451.85,79.980003,0.9562749960900119,-5.861577281798224,UNDERPERFORM,144.5,,,,,
1993-06-29,450.69,78.82,0.9926948415721837,-5.287191717289219,UNDERPERFORM,144.5,,,,,
1993-06-30,450.53,78.58000200000002,0.9297011514852738,-4.624344029910699,UNDERPERFORM,144.5,,,,,
1993-07-01,449.02,77.849998,0.636514411224165,-4.090181202172727,UNDERPERFORM,144.5,,,,,
1993-07-02,445.84,77.620003,0.7639108619988288,-3.625525159851939,UNDERPERFORM,144.8,,,,,
1993-07-06,441.43,75.470001,-0.25082478420029863,-4.673483760855957,UNDERPERFORM,144.8,,,,,
1993-07-07,442.83,75.260002,0.19685039370078705,-3.9560987243989376,UNDERPERFORM,144.8,,,,,
1993-07-08,448.64,76.230003,-0.020056604194063077,-8.388410147679492,UNDERPERFORM,144.8,,,,,
1993-07-09,448.11,76.870003,0.10723141880570886,-7.441300152632147,UNDERPERFORM,144.8,,,,,
1993-07-12,448.98,77.809998,-0.8239270172958335,-8.361801513988866,UNDERPERFORM,144.8,,,,,
1993-07-13,448.09,77.459999,-0.8365237789629831,-8.698723889614524,UNDERPERFORM,144.8,,,,,
1993-07-14,450.08,77.370003,0.2182142061901482,-7.562717116943263,UNDERPERFORM,144.8,,,,,
1993-07-15,449.22,76.589996,-0.37479763145639167,-8.875677256073388,UNDERPERFORM,144.8,,,,,
1993-07-16,445.75,73.83000200000002,-1.6047856606772326,-13.202440940569938,UNDERPERFORM,144.8,,,,,
1993-07-19,446.03,72.620003,-1.5451515352184142,-13.70172159948374,UNDERPERFORM,144.8,,,,,
1993-07-20,447.31,73.760002,-0.9762684849021541,-12.232269011991093,UNDERPERFORM,144.8,,,,,
1993-07-21,447.18,73.93,-0.9304798617572718,-11.967138176930037,UNDERPERFORM,144.8,,,,,
1993-07-22,444.51,73.300003,-0.7391362601045115,-11.994234457987341,UNDERPERFORM,144.8,,,,,
1993-07-23,447.1,74.040001,1.0806655814794786,-10.080149870301181,UNDERPERFORM,144.8,,,,,
1993-07-26,449.09,74.089996,0.6905674760655511,-11.013698990783116,UNDERPERFORM,144.8,,,,,
