,S&P 500,S&P 500 Energy (Sector),S&P 500 Performance (%),S&P 500 Energy (Sector) Performance (%),S&P 500 Energy (Sector) Outperform/Underperform,overall,energy,energy commodities,fuels and utilities,transportation,transportation services,utilities and public transportation
1993-01-04,435.38,90.74,-7.059451382217952,-15.069262448521158,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-05,434.34,90.91,-6.8359752043070765,-14.582354599267134,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-06,434.52,90.89,-6.769369408028836,-14.24662704028682,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-07,430.73,89.91,-7.441550627471205,-14.591051581647196,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-08,429.05,88.9,-7.386621192824916,-15.276851234156108,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-11,430.95,89.17,-7.162860835846619,-15.686459909228445,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-12,431.04,88.96,-7.163471893172513,-16.020013216274908,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-13,433.03,89.84,-6.79709864187169,-15.060981374680903,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-14,435.94,89.26,-6.796656190537275,-15.879747431910275,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-15,437.15,88.99,-6.557937712416906,-15.904365904365903,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-18,436.84,88.2,-6.876998507780863,-16.532601495220966,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-19,435.13,87.89,-7.110835966185636,-16.470252803649498,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-20,433.37,87.72,-6.4036110751155455,-16.193751791344223,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-21,435.49,87.5,-4.808848280836742,-16.10738255033557,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-22,436.11,87.64,-5.104771851948553,-15.90865476875839,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-25,440.01,91.19,-4.3893005367114935,-12.275132275132282,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-26,439.95,92.13,-4.4272587057111235,-10.795894655305972,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-27,438.11,91.24,-5.522729233157941,-11.955997298079712,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-28,438.66,92.84,-5.1832958671969465,-9.060632775002453,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-01-29,438.78,92.42,-5.717785083478377,-10.018498685619704,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-02-01,442.52,93.04,-4.57789757412399,-8.090487009779713,UNDERPERFORM,143.1,104.3,100.5,118.9,160.8,160.8,131.8
1993-02-02,442.55,93.25,-5.182756995329307,-7.50843086689148,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-03,447.2,93.89,-3.7886448226156944,-8.959565596819541,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-04,449.56,94.16,-3.032656054527416,-8.466997180907953,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-05,448.93,94.92,-2.9550367488110685,-7.521434138737337,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-08,447.85,95.94,-2.456820508352753,-6.20784045361229,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-09,445.33,95.18,-3.4054183024965767,-7.0417032913370425,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-10,446.23,94.69,-3.488623583354955,-7.266673195573404,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-11,447.66,95.06,-3.3257029326653087,-4.037956793862307,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-12,444.58,93.7,-3.749729378653388,-4.679552390640884,UNDERPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-16,433.91,93.72,-6.037376296585029,-5.742733581414072,OUTPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-17,433.3,93.58,-6.189785446751383,-5.58918482647297,OUTPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-18,431.9,93.44,-6.73921962384747,-5.7589510842158464,OUTPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-19,434.22,96.32,-6.597259566779234,-2.9716933615392405,OUTPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-22,435.24,97.29,-6.686962673927487,-2.0241691842900256,OUTPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-23,434.8,96.5,-6.84720198817379,-3.0345659163987126,OUTPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-24,440.87,96.62,-5.451543031160866,-2.186677465073894,OUTPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-25,442.34,96.15,-4.705071308544106,-2.365962632006502,OUTPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-02-26,443.38,96.7,-4.42954756105447,-2.960361264425493,OUTPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-03-01,442.01,97.22,-5.086965857848402,-2.104521196254161,OUTPERFORM,143.3,104.9,99.9,120.3,160.5,160.5,132.5
1993-03-02,447.9,98.83,-3.273873796052351,0.13171225937183006,OUTPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-03,449.26,97.49,-2.7238870604538334,-0.5407059783717583,OUTPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-04,447.34,97.75,-3.453187723917639,-0.7513453142450999,OUTPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-05,446.11,96.52,-4.346241262489814,-2.623083131557713,OUTPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-08,454.71,97.62,-2.391327680583888,-1.7907444668008088,OUTPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-09,454.4,97.47,-2.3425746830002203,-1.565340335285803,OUTPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-10,456.33,97.34,-2.3517076093469202,-2.5332932812656472,UNDERPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-11,453.72,96.61,-2.9226753391244698,-3.5539582709394058,UNDERPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-12,449.83,95.68,-4.40132613592894,-5.603788476716643,UNDERPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-15,451.43,96.57,-4.142778273240754,-4.603378445124973,UNDERPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-16,451.37,97.73,-4.082196438437668,-3.180106994254006,OUTPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-17,448.31,98.17,-4.338084670536013,-2.8019801980198045,OUTPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-18,451.89,98.88,-3.121449244291996,-1.5139442231075773,OUTPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-19,450.18,99.02,-3.2786180818150545,-2.202469135802476,OUTPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-22,448.88,99.3,-3.857439653879924,-2.75193418862012,OUTPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-23,448.76,98.6,-4.018821516415361,-4.632943224683239,UNDERPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-24,448.07,99.45,-4.078181195410179,-3.81081342489602,OUTPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-25,450.88,100.23,-4.047669716961055,-2.840248158200842,OUTPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-26,447.78,99.78,-5.784080627853639,-3.724430721729066,OUTPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-29,450.77,100.52,-4.92691877755046,-2.341397065967177,OUTPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-30,451.97,100.82,-4.681865153847776,-1.677394187634107,OUTPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-03-31,451.67,100.25,-4.402395919317625,-2.032639499657962,OUTPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-04-01,450.3,99.78,-5.182034490745613,-2.472876551656733,OUTPERFORM,143.8,104.9,99.4,120.7,161.0,161.0,133.1
1993-04-02,441.39,99.89,-6.742024086203258,-2.9251700680272164,OUTPERFORM,144.2,104.3,97.5,121.1,162.3,162.3,134.2
1993-04-05,442.29,101.63,-6.7390616763310485,-1.5499370338080132,OUTPERFORM,144.2,104.3,97.5,121.1,162.3,162.3,134.2
1993-04-06,441.16,102.19,-6.987138941598136,-1.3895590080092668,OUTPERFORM,144.2,104.3,97.5,121.1,162.3,162.3,134.2
1993-04-07,442.73,102.82,-6.78975956882395,-1.2295869356388045,OUTPERFORM,144.2,104.3,97.5,121.1,162.3,162.3,134.2
1993-04-08,441.84,102.81,-6.926188068756334,-1.2486792815291525,OUTPERFORM,144.2,104.3,97.5,121.1,162.3,162.3,134.2
1993-04-12,448.37,103.51,-5.000317816810396,-0.32739528165622866,OUTPERFORM,144.2,104.3,97.5,121.1,162.3,162.3,134.2
