,S&P 500,S&P 500 Utilities (Sector),S&P 500 Performance (%),S&P 500 Utilities (Sector) Performance (%),S&P 500 Utilities (Sector) Outperform/Underperform,overall,utilities and public transportation,fuels and utilities,shelter
1993-05-04,444.05,123.5,-1.1508837540626038,-2.1937095634840365,-2.1937095634840365,144.3,134.7,121.4,155.8
1993-05-05,444.52,123.610001,-0.27593942793046056,-2.0833309899133567,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-06,443.26,123.309998,-0.6210344595654949,-2.5140327696107745,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-07,442.31,122.980003,-1.1177930294426708,-2.78260632411067,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-10,442.8,122.699997,-0.9794713538172517,-3.1417769182191413,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-11,444.36,122.800003,-0.03374502260915513,-2.932573663227034,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-12,444.8,122.599998,-0.5144263028405316,-3.228355778224712,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-13,439.23,120.120003,-2.195551003139673,-5.65504005655042,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-14,439.56,119.779999,-1.936462609316436,-5.729575881151828,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-17,440.37,119.199997,-1.5250788255551262,-6.119558902736399,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-18,440.32,118.440002,-2.2032693674484793,-7.5409863759100855,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-19,447.57,119.870003,-0.12496373820096718,-6.197666435576599,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-20,450.59,119.800003,0.09774519604575094,-6.639653627824382,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-21,445.84,119.330002,-0.7634607251764014,-7.107274250732387,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-24,448.0,119.669998,-0.1203906006153388,-6.893333127622602,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-25,448.85,120.209999,0.16066766340125938,-6.799501683966557,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-26,453.44,121.720001,1.0608897209592572,-5.357281662722335,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-27,452.41,121.699997,0.3749556265530751,-5.680851008919252,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-05-28,450.19,121.669998,0.16464567805094532,-5.616325944726508,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-06-01,453.83,122.730003,0.7481241397682359,-5.322843272280997,UNDERPERFORM,144.3,134.7,121.4,155.8
1993-06-02,453.85,122.769997,1.0891838916607277,-5.240815919123431,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-03,452.49,122.779999,0.522059803616659,-5.3864566421682465,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-04,450.06,122.389999,-0.5128431849330206,-5.752350179020871,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-07,447.69,122.779999,-1.2005384768168037,-5.459302589485726,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-08,444.71,122.139999,-2.4844311902464833,-5.777987897169334,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-09,445.78,122.169998,-2.333326030278471,-5.6529513609949955,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-10,445.38,121.970001,-2.36320589266924,-5.9816505351622755,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-11,447.26,122.18,-1.7507633503943132,-5.761661662707052,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-14,447.71,121.669998,-2.62305065576266,-6.830537003768655,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-15,446.27,121.690002,-3.0121922065503237,-7.283807999999992,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-16,447.43,122.099998,-2.952021516571235,-7.247038189357625,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-17,448.54,122.300003,-2.6056368610761327,-6.868720316166299,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-18,443.68,121.650002,-3.9445767482138905,-7.609931003416581,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-21,446.22,122.449997,-3.7406161014755357,-7.276996172603312,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-22,445.93,122.75,-3.7180179207600084,-6.9652886620389705,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-23,443.19,123.040001,-3.9258616952091985,-6.4192236513301975,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-24,446.62,123.690002,-3.1907053366280747,-6.1746187336020775,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-25,447.6,124.199997,-2.3815755037948083,-5.916217177343286,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-28,451.85,125.440002,-1.0511332530384276,-5.041637923922582,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-29,450.69,125.470001,-1.488524590163931,-4.694259993661676,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-06-30,450.53,125.370003,-2.4235467382829556,-5.4596168806303025,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-07-01,449.02,125.57,-2.822144310262742,-5.7423817314038335,UNDERPERFORM,144.5,135.1,121.7,155.9
1993-07-02,445.84,125.019997,-3.0571863448575765,-5.766187619901819,UNDERPERFORM,144.8,135.7,122.1,156.2
1993-07-06,441.43,124.970001,-4.369584055459274,-5.973969423701164,UNDERPERFORM,144.8,135.7,122.1,156.2
1993-07-07,442.83,125.309998,-3.6131728446118117,-5.397862465762982,UNDERPERFORM,144.8,135.7,122.1,156.2
1993-07-08,448.64,126.389999,-2.2208661159906717,-4.812471794038798,UNDERPERFORM,144.8,135.7,122.1,156.2
1993-07-09,448.11,126.269997,-1.525107131084491,-4.413329852536119,UNDERPERFORM,144.8,135.7,122.1,156.2
1993-07-12,448.98,126.360001,-0.8764764322772844,-3.6890214258160414,UNDERPERFORM,144.8,135.7,122.1,156.2
1993-07-13,448.09,125.959999,-1.7777290661990408,-4.169204896999313,UNDERPERFORM,144.8,135.7,122.1,156.2
1993-07-14,450.08,126.449997,-1.673439070214533,-3.3478597669057697,UNDERPERFORM,144.8,135.7,122.1,156.2
1993-07-15,449.22,126.269997,-1.8377291698533638,-3.010987740825133,UNDERPERFORM,144.8,135.7,122.1,156.2
1993-07-16,445.75,126.239998,-3.4755305326981456,-3.883050217239248,UNDERPERFORM,144.8,135.7,122.1,156.2
1993-07-19,446.03,126.489998,-3.3583949039065697,-3.77329715724527,UNDERPERFORM,144.8,135.7,122.1,156.2
1993-07-20,447.31,126.5,-2.781943448305846,-3.065134099616862,UNDERPERFORM,144.8,135.7,122.1,156.2
