,S&P 500,S&P 500 Consumer Discretionary (Sector),S&P 500 Performance (%),S&P 500 Consumer Discretionary (Sector) Performance (%),S&P 500 Consumer Discretionary (Sector) Outperform/Underperform,overall,durables,jewelry and watches,jewelry,watches,sporting goods,"pets, pet products and services"
1993-08-11,450.46,102.860001,-1.4440117271255493,-2.8155660550100547,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-12,448.96,102.529999,-1.8301882666783342,-3.3556387352488892,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-13,450.14,102.68,-1.393209200438117,-2.80196803106747,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-16,452.38,103.360001,-1.147214999016677,-1.9726867986971541,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-17,453.13,102.830002,-0.987654320987652,-1.9826536275797002,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-18,456.04,102.589996,-0.8888792297828796,-2.8319813822318296,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-19,456.43,102.940002,-0.5339086471408572,-1.7373042814565753,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-20,456.16,102.989998,-0.4473931166932066,-1.6895799601072903,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-23,455.23,102.949997,-0.400385069793896,-1.7183799522673016,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-24,459.77,104.050003,0.4171580832568855,-1.2527284449256326,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-25,460.13,104.07,0.31831164017703806,-1.0835462511505245,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-26,461.04,104.150002,0.4225658897843543,-1.307682188076209,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-27,460.54,104.400002,-0.39578692389211634,-2.30207652721246,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-30,461.9,104.580002,0.28006339419464066,-1.8028150234741802,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-08-31,463.56,104.379997,0.35286731755894696,-2.5214838901478465,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-09-01,463.15,104.440002,1.0251935870869255,-1.415895763339703,UNDERPERFORM,145.0,122.1,147.1,154.6,121.0,120.5,
1993-09-02,461.3,103.010002,1.2777728989198156,-2.0631279710971784,UNDERPERFORM,145.6,122.5,147.7,155.5,120.6,121.3,
1993-09-03,461.34,102.68,2.215624584570386,-1.221738370997727,UNDERPERFORM,145.6,122.5,147.7,155.5,120.6,121.3,
